"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,555","15.2%","41.7%","37.9%","5.2%","627,956","5.9%","10.6%","42.6%","18.1%","4.9%","11.0%","6.8%","83.5%","17.8%","110,182","89.2%","20.2%","115,628","87.1%","17.3%","263,957","84.9%","17.8%","138,189","73.3%","16.4%","","28.2%","12.3%","9.3%","4.1%","","37,555","24,327","32,650","40,369","48,839","62,189","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86,437","12.1%","29.7%","47.6%","10.5%","668,245","5.4%","9.2%","38.7%","19.7%","7.6%","11.7%","7.7%","85.5%","19.4%","107,869","91.0%","28.0%","115,339","91.2%","25.5%","272,122","87.9%","19.1%","172,915","74.3%","10.5%","","33.9%","17.1%","12.9%","4.4%","","24,728","12,641","20,196","24,171","35,812","48,565","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","555,478","12.6%","30.2%","47.7%","9.6%","3,854,170","3.3%","5.9%","32.4%","21.2%","10.0%","17.9%","9.3%","90.7%","27.1%","734,480","92.0%","31.7%","698,135","92.7%","32.4%","1,597,525","92.9%","26.9%","824,030","83.8%","19.2%","","24.8%","11.1%","9.0%","3.2%","","35,036","20,282","28,560","32,206","46,204","60,619","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","281,554","14.2%","34.3%","44.0%","7.4%","1,885,803","3.4%","6.5%","33.8%","20.8%","9.4%","16.8%","9.3%","90.1%","26.1%","373,998","91.0%","26.6%","352,787","91.6%","28.9%","796,483","91.9%","25.9%","362,535","83.9%","23.3%","","20.9%","9.8%","6.9%","3.1%","","41,147","22,475","34,196","40,747","55,264","70,399","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","273,924","10.8%","25.9%","51.5%","11.8%","1,968,367","3.3%","5.4%","31.1%","21.5%","10.6%","18.9%","9.3%","91.4%","28.1%","360,482","93.1%","36.9%","345,348","93.9%","35.9%","801,042","93.9%","27.8%","461,495","83.7%","16.0%","","29.1%","12.5%","10.9%","3.3%","","29,425","15,270","22,277","26,778","39,788","53,273","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58,860","15.1%","30.7%","48.1%","6.2%","380,942","2.3%","6.0%","30.4%","26.6%","10.0%","16.9%","7.8%","91.7%","24.7%","80,079","92.6%","23.4%","68,921","92.7%","26.4%","156,892","93.6%","26.6%","75,050","85.9%","20.7%","","18.7%","10.4%","8.6%","4.6%","","35,739","22,244","31,693","32,369","41,869","60,222","","5.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,706","16.7%","34.8%","42.2%","6.3%","191,656","2.3%","6.3%","33.2%","24.5%","9.4%","16.2%","8.1%","91.4%","24.3%","42,479","92.3%","19.9%","35,588","90.7%","22.2%","78,462","93.9%","26.9%","35,127","85.5%","25.9%","","14.0%","9.0%","7.2%","4.4%","","47,832","35,586","42,891","47,394","51,413","70,155","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,154","13.3%","26.3%","54.4%","6.0%","189,286","2.3%","5.7%","27.4%","28.7%","10.6%","17.7%","7.5%","92.0%","25.2%","37,600","92.9%","27.4%","33,333","94.7%","30.9%","78,430","93.3%","26.4%","39,923","86.2%","16.0%","","23.8%","12.1%","9.8%","4.9%","","25,575","13,785","20,010","24,483","34,621","50,469","","(X)"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","385,586","13.3%","28.4%","52.0%","6.3%","2,432,137","18.1%","9.3%","26.8%","12.6%","9.0%","17.6%","6.6%","72.6%","24.2%","456,664","86.5%","29.3%","476,239","84.4%","32.0%","917,200","75.5%","24.8%","582,034","47.5%","13.0%","","61.8%","46.0%","34.3%","13.0%","","17,835","10,250","14,659","17,066","25,036","35,384","","4.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","195,618","15.6%","33.0%","47.2%","4.2%","1,124,201","18.9%","10.7%","29.9%","13.0%","8.1%","14.0%","5.5%","70.4%","19.5%","221,412","83.0%","21.7%","228,225","80.2%","24.3%","421,694","71.7%","19.9%","252,870","48.5%","12.7%","","59.7%","40.6%","26.3%","9.7%","","17,546","10,526","15,248","19,270","30,986","46,247","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","189,968","10.9%","23.7%","56.9%","8.5%","1,307,936","17.5%","8.1%","24.1%","12.3%","9.8%","20.7%","7.6%","74.4%","28.3%","235,252","89.7%","36.5%","248,014","88.3%","39.0%","495,506","78.7%","29.0%","329,164","46.7%","13.2%","","63.8%","51.8%","40.9%","14.9%","","18,109","9,426","13,421","15,739","22,626","31,324","","(X)"
