"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,358","16.5%","38.5%","37.5%","7.5%","626,244","6.7%","11.3%","42.8%","17.6%","4.4%","10.9%","6.3%","82.0%","17.3%","110,224","89.1%","19.5%","119,986","87.5%","17.7%","266,171","83.3%","17.6%","129,863","68.2%","14.2%","","26.8%","12.3%","8.8%","4.0%","","36,215","23,666","31,944","36,316","48,073","60,882","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84,185","15.9%","29.6%","45.8%","8.7%","668,503","5.5%","10.1%","40.5%","19.0%","7.1%","10.8%","7.0%","84.4%","17.8%","107,731","90.5%","26.1%","119,111","90.5%","22.7%","272,918","87.8%","17.5%","168,743","70.8%","9.5%","","32.4%","16.2%","12.6%","5.2%","","23,279","13,165","19,191","23,363","33,679","44,623","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","554,544","13.3%","32.5%","45.0%","9.3%","3,800,295","3.5%","6.4%","33.3%","21.1%","9.3%","17.4%","9.0%","90.1%","26.3%","717,027","91.3%","29.7%","724,623","92.1%","31.4%","1,579,135","92.8%","26.2%","779,510","81.7%","18.9%","","23.6%","10.7%","8.3%","3.5%","","32,717","19,473","27,342","31,798","44,534","59,962","","3.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","284,027","15.8%","34.6%","42.0%","7.5%","1,857,819","3.4%","7.1%","34.3%","20.6%","8.6%","16.7%","9.3%","89.4%","26.0%","364,626","89.8%","24.6%","364,911","91.0%","29.3%","789,159","92.3%","26.2%","339,123","80.7%","23.3%","","19.1%","9.6%","6.7%","3.2%","","40,041","22,171","32,589","39,618","54,480","71,312","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","270,517","10.7%","30.2%","48.1%","11.1%","1,942,476","3.5%","5.7%","32.3%","21.7%","10.1%","18.0%","8.7%","90.8%","26.7%","352,401","92.8%","34.9%","359,712","93.2%","33.5%","789,976","93.4%","26.2%","440,387","82.4%","15.5%","","28.5%","11.8%","9.8%","3.7%","","27,512","14,398","21,797","26,803","36,727","51,782","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","56,791","16.2%","29.0%","47.8%","7.0%","370,951","2.6%","5.1%","30.2%","27.3%","10.7%","15.7%","8.4%","92.3%","24.1%","76,868","94.3%","25.0%","66,064","95.0%","25.1%","157,833","93.9%","25.1%","70,186","83.8%","20.1%","","19.4%","10.0%","6.9%","3.6%","","35,108","23,787","30,173","31,748","44,737","56,550","","2.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,466","17.8%","33.5%","43.8%","4.9%","186,793","3.1%","5.1%","31.7%","27.2%","9.0%","15.0%","9.0%","91.8%","24.0%","38,687","93.6%","22.6%","34,598","95.2%","21.1%","81,015","92.9%","25.2%","32,493","83.1%","25.7%","","12.4%","8.1%","5.2%","2.8%","","44,127","28,168","41,185","41,711","50,788","60,872","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,325","14.4%","23.7%","52.5%","9.5%","184,158","2.1%","5.1%","28.7%","27.4%","12.4%","16.4%","7.8%","92.8%","24.3%","38,181","95.0%","27.5%","31,466","94.7%","29.4%","76,818","95.0%","25.0%","37,693","84.4%","15.2%","","27.5%","12.2%","8.5%","4.4%","","25,360","11,007","20,822","24,677","36,657","53,405","","(X)"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","379,556","17.8%","28.0%","48.2%","6.0%","2,444,933","19.8%","10.7%","25.5%","13.0%","8.7%","15.9%","6.3%","69.5%","22.3%","482,756","83.7%","27.2%","487,539","82.6%","28.7%","928,917","71.1%","22.6%","545,721","42.2%","11.7%","","60.6%","44.5%","32.8%","12.6%","","17,459","10,692","14,554","17,058","25,866","37,103","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190,850","22.3%","30.0%","43.4%","4.3%","1,132,408","20.4%","12.0%","28.1%","13.4%","7.5%","12.9%","5.6%","67.5%","18.5%","231,821","80.0%","21.1%","234,342","78.2%","21.0%","428,423","67.7%","18.7%","237,822","44.4%","13.0%","","58.6%","38.5%","25.3%","10.1%","","17,367","11,188","15,280","19,488","30,340","46,054","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","188,706","13.2%","26.1%","53.0%","7.7%","1,312,525","19.2%","9.6%","23.3%","12.6%","9.7%","18.6%","6.9%","71.1%","25.5%","250,935","87.2%","32.8%","253,197","86.7%","35.7%","500,494","74.0%","25.8%","307,899","40.5%","10.7%","","62.5%","50.6%","38.7%","14.2%","","17,619","9,169","13,204","15,620","23,627","33,957","","(X)"
