"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89,696","17.0%","38.9%","37.1%","7.0%","625,433","6.8%","10.3%","42.4%","17.3%","4.8%","11.6%","6.7%","82.9%","18.4%","109,428","89.4%","21.1%","117,420","87.6%","21.7%","266,670","83.9%","17.3%","131,915","71.4%","15.4%","","26.5%","13.3%","9.0%","4.5%","","36,869","22,451","32,053","36,950","50,633","69,342","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84,639","14.7%","30.0%","44.9%","10.5%","668,765","4.9%","9.7%","41.0%","18.0%","7.9%","11.7%","6.9%","85.4%","18.6%","108,477","90.7%","25.5%","116,372","90.7%","24.6%","274,514","88.2%","18.7%","169,402","73.9%","9.8%","","32.6%","17.4%","14.5%","3.7%","","22,498","12,136","18,006","22,880","36,921","46,939","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","555,994","13.3%","31.4%","46.5%","8.9%","3,831,373","3.4%","6.3%","33.1%","21.3%","9.6%","17.4%","9.0%","90.4%","26.5%","731,214","91.9%","30.9%","709,248","91.7%","30.5%","1,598,697","92.8%","26.4%","792,214","82.8%","18.8%","","23.7%","10.9%","8.7%","3.6%","","33,657","20,494","27,316","32,452","45,581","58,970","","3.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","284,342","15.3%","34.6%","42.2%","8.0%","1,872,855","3.6%","6.9%","34.0%","20.8%","8.9%","16.6%","9.3%","89.5%","25.8%","372,540","90.6%","26.0%","358,015","90.8%","27.9%","796,944","91.8%","26.1%","345,356","81.8%","22.9%","","19.9%","9.4%","6.8%","3.1%","","40,505","23,830","32,397","40,619","55,730","67,108","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","271,652","11.2%","28.0%","50.9%","9.9%","1,958,518","3.2%","5.7%","32.2%","21.7%","10.2%","18.3%","8.8%","91.2%","27.1%","358,674","93.3%","36.1%","351,233","92.6%","33.2%","801,753","93.8%","26.8%","446,858","83.5%","15.6%","","28.0%","12.3%","10.3%","4.1%","","28,478","14,648","22,229","27,494","37,318","51,937","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,459","12.8%","30.1%","50.4%","6.7%","375,608","1.8%","6.2%","30.8%","26.6%","9.9%","16.5%","8.3%","92.0%","24.7%","79,318","91.0%","26.4%","66,597","93.8%","26.6%","157,664","93.5%","24.5%","72,029","87.9%","21.6%","","20.3%","9.1%","7.2%","4.5%","","36,035","17,778","31,303","34,311","45,313","55,547","","3.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,256","15.6%","33.4%","46.1%","4.9%","188,831","2.1%","6.6%","32.6%","26.5%","8.4%","15.7%","8.0%","91.3%","23.8%","41,413","90.0%","20.6%","34,030","94.0%","24.4%","80,065","92.8%","24.2%","33,323","86.7%","26.1%","","15.3%","6.7%","5.3%","4.8%","","46,861","23,362","43,850","46,754","54,371","61,858","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,203","9.4%","26.2%","55.5%","8.9%","186,777","1.6%","5.8%","28.9%","26.7%","11.4%","17.2%","8.5%","92.6%","25.7%","37,905","92.1%","32.7%","32,567","93.5%","28.9%","77,599","94.3%","24.9%","38,706","88.9%","17.7%","","26.3%","11.7%","9.0%","4.1%","","26,951","10,495","22,738","26,348","36,509","52,023","","(X)"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","386,680","15.0%","28.6%","50.5%","5.9%","2,443,515","18.9%","10.0%","26.5%","12.5%","8.8%","17.0%","6.3%","71.1%","23.3%","471,617","84.9%","28.9%","482,098","82.5%","29.6%","924,728","73.3%","23.8%","565,072","46.3%","12.6%","","62.0%","45.6%","33.6%","13.2%","","17,489","10,240","14,061","17,057","24,908","35,616","","3.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","194,928","18.8%","31.7%","45.9%","3.6%","1,130,397","20.0%","11.2%","29.1%","13.1%","7.2%","13.9%","5.5%","68.8%","19.5%","227,130","81.3%","21.0%","232,229","77.5%","23.7%","425,054","69.6%","20.0%","245,984","47.6%","13.0%","","60.4%","39.3%","25.3%","11.2%","","17,285","10,763","14,829","19,029","29,827","41,382","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","191,752","11.2%","25.3%","55.2%","8.3%","1,313,118","17.9%","8.9%","24.3%","12.0%","10.2%","19.7%","6.9%","73.1%","26.6%","244,487","88.3%","36.2%","249,869","87.2%","35.0%","499,674","76.5%","27.0%","319,088","45.3%","12.2%","","63.5%","52.1%","40.0%","14.4%","","17,871","9,080","12,667","15,865","22,994","32,439","","(X)"
