"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","","229,370","26,519","64,267","113,919","24,665","1,788,060","69,496","146,352","494,820","386,109","193,345","313,688","184,250","(X)","(X)","328,611","299,021","108,957","314,540","281,223","103,293","681,949","616,421","185,803","462,960","375,547","99,885","","1,236,647","1,113,293","388,863","1,192,758","1,083,689","381,699","475,740","398,593","87,039","5,156","4,353","578","30,827","25,908","12,901","N","N","N","19,450","12,382","4,015","19,406","16,849","4,341","65,836","43,382","11,309","","(X)","(X)","(X)","(X)","","28,871","15,042","21,711","26,667","37,329","49,669"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.6%","28.0%","49.7%","10.8%","(X)","3.9%","8.2%","27.7%","21.6%","10.8%","17.5%","10.3%","87.9%","27.8%","(X)","91.0%","33.2%","(X)","89.4%","32.8%","(X)","90.4%","27.2%","(X)","81.1%","21.6%","","(X)","90.0%","31.4%","(X)","90.9%","32.0%","(X)","83.8%","18.3%","(X)","84.4%","11.2%","(X)","84.0%","41.8%","(X)","N","N","(X)","63.7%","20.6%","(X)","86.8%","22.4%","(X)","65.9%","17.2%","","31.2%","16.6%","12.6%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","85,659","12,127","24,915","40,256","8,361","565,894","18,275","31,736","163,910","123,619","65,093","111,002","52,259","(X)","(X)","111,536","100,997","38,207","98,662","91,697","30,817","218,127","202,977","60,280","137,569","120,212","33,957","","501,633","468,153","153,707","492,869","461,606","152,067","7,354","5,250","1,238","39,395","29,981","4,158","7,145","5,188","2,994","N","N","N","3,492","1,500","230","6,833","5,783","934","14,002","9,254","2,364","","(X)","(X)","(X)","(X)","","36,068","22,805","30,297","35,083","42,054","51,902"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.2%","29.1%","47.0%","9.8%","(X)","3.2%","5.6%","29.0%","21.8%","11.5%","19.6%","9.2%","91.2%","28.9%","(X)","90.6%","34.3%","(X)","92.9%","31.2%","(X)","93.1%","27.6%","(X)","87.4%","24.7%","","(X)","93.3%","30.6%","(X)","93.7%","30.9%","(X)","71.4%","16.8%","(X)","76.1%","10.6%","(X)","72.6%","41.9%","(X)","N","N","(X)","43.0%","6.6%","(X)","84.6%","13.7%","(X)","66.1%","16.9%","","28.8%","12.8%","8.3%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,638","7,680","14,043","20,267","2,648","280,106","10,327","17,113","85,933","61,409","30,947","50,441","23,936","(X)","(X)","58,513","52,692","16,424","50,963","46,988","13,012","108,465","99,756","27,659","62,165","53,230","17,282","","248,510","228,765","70,033","243,744","225,425","69,120","4,769","3,867","889","18,048","13,621","1,332","3,214","2,492","1,601","N","N","N","2,222","1,150","173","3,315","2,743","349","7,570","4,879","1,284","","(X)","(X)","(X)","(X)","","41,435","26,403","37,084","41,357","50,989","54,162"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.2%","31.5%","45.4%","5.9%","(X)","3.7%","6.1%","30.7%","21.9%","11.0%","18.0%","8.5%","90.2%","26.6%","(X)","90.1%","28.1%","(X)","92.2%","25.5%","(X)","92.0%","25.5%","(X)","85.6%","27.8%","","(X)","92.1%","28.2%","(X)","92.5%","28.4%","(X)","81.1%","18.6%","(X)","75.5%","7.4%","(X)","77.5%","49.8%","(X)","N","N","(X)","51.8%","7.8%","(X)","82.7%","10.5%","(X)","64.5%","17.0%","","21.0%","10.3%","5.5%","3.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,021","4,447","10,872","19,989","5,713","285,788","7,948","14,623","77,977","62,210","34,146","60,561","28,323","(X)","(X)","53,023","48,305","21,783","47,699","44,709","17,805","109,662","103,221","32,621","75,404","66,982","16,675","","253,123","239,388","83,674","249,125","236,181","82,947","2,585","1,383","349","21,347","16,360","2,826","3,931","2,696","1,393","N","N","N","1,270","350","57","3,518","3,040","585","6,432","4,375","1,080","","(X)","(X)","(X)","(X)","","30,410","16,941","23,299","28,103","36,930","51,201"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.8%","26.5%","48.7%","13.9%","(X)","2.8%","5.1%","27.3%","21.8%","11.9%","21.2%","9.9%","92.1%","31.1%","(X)","91.1%","41.1%","(X)","93.7%","37.3%","(X)","94.1%","29.7%","(X)","88.8%","22.1%","","(X)","94.6%","33.1%","(X)","94.8%","33.3%","(X)","53.5%","13.5%","(X)","76.6%","13.2%","(X)","68.6%","35.4%","(X)","N","N","(X)","27.6%","4.5%","(X)","86.4%","16.6%","(X)","68.0%","16.8%","","38.2%","15.5%","10.9%","6.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","620,744","72,269","220,641","266,393","61,441","4,527,198","216,289","374,024","1,465,937","959,498","328,595","756,055","426,800","(X)","(X)","886,029","807,452","275,380","837,897","753,731","241,376","1,758,017","1,542,708","448,092","1,045,255","832,994","218,007","","3,646,786","3,198,800","983,625","3,522,010","3,116,440","962,624","696,665","591,132","135,414","13,412","10,655","1,963","76,429","65,939","42,087","2,434","2,077","526","36,963","20,810","4,292","54,509","47,472","14,948","168,404","106,955","25,059","","(X)","(X)","(X)","(X)","","34,346","21,156","27,292","32,327","46,065","56,454"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.6%","35.5%","42.9%","9.9%","(X)","4.8%","8.3%","32.4%","21.2%","7.3%","16.7%","9.4%","87.0%","26.1%","(X)","91.1%","31.1%","(X)","90.0%","28.8%","(X)","87.8%","25.5%","(X)","79.7%","20.9%","","(X)","87.7%","27.0%","(X)","88.5%","27.3%","(X)","84.9%","19.4%","(X)","79.4%","14.6%","(X)","86.3%","55.1%","(X)","85.3%","21.6%","(X)","56.3%","11.6%","(X)","87.1%","27.4%","(X)","63.5%","14.9%","","27.2%","15.4%","10.1%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","315,075","40,699","125,497","123,073","25,806","2,158,282","113,501","192,103","723,545","443,089","137,210","355,398","193,436","(X)","(X)","440,039","396,851","115,878","411,493","362,355","103,890","846,425","725,064","210,329","460,325","368,408","118,737","","1,753,945","1,521,366","467,343","1,689,178","1,479,404","457,426","317,509","262,314","49,882","7,058","5,414","832","33,264","29,359","20,144","1,085","980","368","20,404","11,332","2,578","25,017","21,913","7,687","88,724","54,739","11,996","","(X)","(X)","(X)","(X)","","40,337","24,202","31,906","40,671","56,720","74,182"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.9%","39.8%","39.1%","8.2%","(X)","5.3%","8.9%","33.5%","20.5%","6.4%","16.5%","9.0%","85.8%","25.4%","(X)","90.2%","26.3%","(X)","88.1%","25.2%","(X)","85.7%","24.8%","(X)","80.0%","25.8%","","(X)","86.7%","26.6%","(X)","87.6%","27.1%","(X)","82.6%","15.7%","(X)","76.7%","11.8%","(X)","88.3%","60.6%","(X)","90.3%","33.9%","(X)","55.5%","12.6%","(X)","87.6%","30.7%","(X)","61.7%","13.5%","","23.5%","13.1%","7.5%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","305,669","31,570","95,144","143,320","35,635","2,368,916","102,788","181,921","742,392","516,409","191,385","400,657","233,364","(X)","(X)","445,990","410,601","159,502","426,404","391,376","137,486","911,592","817,644","237,763","584,930","464,586","99,270","","1,892,841","1,677,434","516,282","1,832,832","1,637,036","505,198","379,156","328,818","85,532","6,354","5,241","1,131","43,165","36,580","21,943","1,349","1,097","158","16,559","9,478","1,714","29,492","25,559","7,261","79,680","52,216","13,063","","(X)","(X)","(X)","(X)","","29,741","15,246","21,800","27,531","39,584","48,814"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.3%","31.1%","46.9%","11.7%","(X)","4.3%","7.7%","31.3%","21.8%","8.1%","16.9%","9.9%","88.0%","26.8%","(X)","92.1%","35.8%","(X)","91.8%","32.2%","(X)","89.7%","26.1%","(X)","79.4%","17.0%","","(X)","88.6%","27.3%","(X)","89.3%","27.6%","(X)","86.7%","22.6%","(X)","82.5%","17.8%","(X)","84.7%","50.8%","(X)","81.3%","11.7%","(X)","57.2%","10.4%","(X)","86.7%","24.6%","(X)","65.5%","16.4%","","31.1%","17.6%","12.2%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,795,622","421,608","905,685","1,220,472","247,857","17,775,280","1,529,632","1,506,376","4,474,711","3,869,300","1,259,574","3,362,678","1,773,009","(X)","(X)","4,061,590","3,547,482","1,228,026","3,748,838","3,102,265","1,161,753","6,612,009","5,466,520","1,880,822","3,352,843","2,623,005","865,086","","13,436,720","11,178,080","3,932,068","8,537,887","7,973,248","3,209,090","2,097,614","1,868,624","485,127","86,895","66,529","15,160","883,132","773,543","500,722","15,520","13,441","2,801","950,136","574,968","103,614","305,263","264,087","96,195","6,024,554","3,909,892","855,442","","(X)","(X)","(X)","(X)","","36,691","21,720","27,774","35,933","52,967","69,803"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.1%","32.4%","43.7%","8.9%","(X)","8.6%","8.5%","25.2%","21.8%","7.1%","18.9%","10.0%","82.9%","28.9%","(X)","87.3%","30.2%","(X)","82.8%","31.0%","(X)","82.7%","28.4%","(X)","78.2%","25.8%","","(X)","83.2%","29.3%","(X)","93.4%","37.6%","(X)","89.1%","23.1%","(X)","76.6%","17.4%","(X)","87.6%","56.7%","(X)","86.6%","18.0%","(X)","60.5%","10.9%","(X)","86.5%","31.5%","(X)","64.9%","14.2%","","25.5%","14.3%","9.4%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,448,307","240,675","507,736","600,144","99,752","8,659,045","762,285","772,333","2,225,385","1,832,541","568,428","1,609,219","888,854","(X)","(X)","2,053,685","1,755,426","562,048","1,872,140","1,527,304","533,097","3,244,914","2,651,549","925,757","1,488,306","1,190,148","477,171","","6,576,235","5,431,207","1,938,985","4,165,023","3,889,177","1,610,165","972,123","854,685","201,412","46,222","34,882","8,056","418,249","376,523","252,552","4,867","4,615","702","494,842","295,907","50,802","146,507","126,608","45,564","2,991,865","1,900,052","391,618","","(X)","(X)","(X)","(X)","","42,309","26,296","33,121","42,697","65,665","89,008"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.6%","35.1%","41.4%","6.9%","(X)","8.8%","8.9%","25.7%","21.2%","6.6%","18.6%","10.3%","82.3%","28.8%","(X)","85.5%","27.4%","(X)","81.6%","28.5%","(X)","81.7%","28.5%","(X)","80.0%","32.1%","","(X)","82.6%","29.5%","(X)","93.4%","38.7%","(X)","87.9%","20.7%","(X)","75.5%","17.4%","(X)","90.0%","60.4%","(X)","94.8%","14.4%","(X)","59.8%","10.3%","(X)","86.4%","31.1%","(X)","63.5%","13.1%","","20.9%","11.5%","7.4%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,347,315","180,933","397,949","620,328","148,105","9,116,235","767,347","734,043","2,249,326","2,036,759","691,146","1,753,459","884,155","(X)","(X)","2,007,905","1,792,056","665,978","1,876,698","1,574,961","628,656","3,367,095","2,814,971","955,065","1,864,537","1,432,857","387,915","","6,860,485","5,746,873","1,993,083","4,372,864","4,084,071","1,598,925","1,125,491","1,013,939","283,715","40,673","31,647","7,104","464,883","397,020","248,170","10,653","8,826","2,099","455,294","279,061","52,812","158,756","137,479","50,631","3,032,689","2,009,840","463,824","","(X)","(X)","(X)","(X)","","30,612","15,492","21,777","30,243","46,826","56,954"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.4%","29.5%","46.0%","11.0%","(X)","8.4%","8.1%","24.7%","22.3%","7.6%","19.2%","9.7%","83.5%","28.9%","(X)","89.3%","33.2%","(X)","83.9%","33.5%","(X)","83.6%","28.4%","(X)","76.8%","20.8%","","(X)","83.8%","29.1%","(X)","93.4%","36.6%","(X)","90.1%","25.2%","(X)","77.8%","17.5%","(X)","85.4%","53.4%","(X)","82.8%","19.7%","(X)","61.3%","11.6%","(X)","86.6%","31.9%","(X)","66.3%","15.3%","","30.0%","17.0%","11.1%","4.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","346,126","42,271","106,080","174,998","22,777","1,783,244","51,995","95,408","404,605","472,108","178,193","381,130","199,805","(X)","(X)","448,034","415,611","150,480","410,026","372,594","146,801","605,694","554,924","182,767","319,490","292,712","100,887","","1,570,964","1,476,148","532,568","1,460,142","1,393,386","516,086","17,317","14,565","3,872","17,415","15,074","1,887","46,290","39,876","21,875","15,028","13,494","1,783","87,224","50,511","8,724","29,006","26,173","10,226","206,718","140,662","27,068","","(X)","(X)","(X)","(X)","","37,171","25,501","30,923","34,015","47,164","70,026"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.2%","30.6%","50.6%","6.6%","(X)","2.9%","5.4%","22.7%","26.5%","10.0%","21.4%","11.2%","91.7%","32.6%","(X)","92.8%","33.6%","(X)","90.9%","35.8%","(X)","91.6%","30.2%","(X)","91.6%","31.6%","","(X)","94.0%","33.9%","(X)","95.4%","35.3%","(X)","84.1%","22.4%","(X)","86.6%","10.8%","(X)","86.1%","47.3%","(X)","89.8%","11.9%","(X)","57.9%","10.0%","(X)","90.2%","35.3%","(X)","68.0%","13.1%","","17.9%","9.8%","7.3%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","176,913","24,399","61,030","83,496","7,988","886,906","25,812","52,009","197,980","228,450","77,027","183,627","122,001","(X)","(X)","227,319","207,773","70,392","209,342","188,797","76,233","302,666","274,753","98,734","147,579","137,762","60,269","","777,236","727,556","282,351","722,825","688,165","274,450","10,397","9,054","2,307","8,932","7,731","826","21,453","18,443","10,786","7,980","7,223","828","45,885","25,774","3,373","15,023","13,304","5,157","105,512","69,754","12,867","","(X)","(X)","(X)","(X)","","48,178","30,348","38,246","42,410","62,381","83,953"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.8%","34.5%","47.2%","4.5%","(X)","2.9%","5.9%","22.3%","25.8%","8.7%","20.7%","13.8%","91.2%","34.5%","(X)","91.4%","31.0%","(X)","90.2%","36.4%","(X)","90.8%","32.6%","(X)","93.3%","40.8%","","(X)","93.6%","36.3%","(X)","95.2%","38.0%","(X)","87.1%","22.2%","(X)","86.6%","9.2%","(X)","86.0%","50.3%","(X)","90.5%","10.4%","(X)","56.2%","7.4%","(X)","88.6%","34.3%","(X)","66.1%","12.2%","","13.5%","8.2%","6.6%","3.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","169,213","17,872","45,050","91,502","14,789","896,338","26,183","43,399","206,625","243,658","101,166","197,503","77,804","(X)","(X)","220,715","207,838","80,088","200,684","183,797","70,568","303,028","280,171","84,033","171,911","154,950","40,618","","793,728","748,592","250,217","737,317","705,221","241,636","6,920","5,511","1,565","8,483","7,343","1,061","24,837","21,433","11,089","7,048","6,271","955","41,339","24,737","5,351","13,983","12,869","5,069","101,206","70,908","14,201","","(X)","(X)","(X)","(X)","","27,026","18,692","22,305","25,959","32,511","55,474"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.6%","26.6%","54.1%","8.7%","(X)","2.9%","4.8%","23.1%","27.2%","11.3%","22.0%","8.7%","92.2%","30.7%","(X)","94.2%","36.3%","(X)","91.6%","35.2%","(X)","92.5%","27.7%","(X)","90.1%","23.6%","","(X)","94.3%","31.5%","(X)","95.6%","32.8%","(X)","79.6%","22.6%","(X)","86.6%","12.5%","(X)","86.3%","44.6%","(X)","89.0%","13.5%","(X)","59.8%","12.9%","(X)","92.0%","36.3%","(X)","70.1%","14.0%","","22.7%","11.4%","7.8%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","66,347","6,238","20,940","31,474","7,695","439,563","11,087","23,483","128,767","75,872","40,499","92,871","66,984","(X)","(X)","71,885","65,879","28,322","70,519","66,243","29,099","183,559","171,176","63,253","113,600","101,695","39,181","","419,821","387,626","153,079","415,204","383,557","151,365","4,087","3,698","1,111","N","N","N","6,184","5,141","3,129","N","N","N","N","N","N","6,116","5,688","1,877","6,269","5,482","2,226","","(X)","(X)","(X)","(X)","","37,965","26,125","31,471","35,937","42,338","57,297"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","9.4%","31.6%","47.4%","11.6%","(X)","2.5%","5.3%","29.3%","17.3%","9.2%","21.1%","15.2%","92.1%","36.4%","(X)","91.6%","39.4%","(X)","93.9%","41.3%","(X)","93.3%","34.5%","(X)","89.5%","34.5%","","(X)","92.3%","36.5%","(X)","92.4%","36.5%","(X)","90.5%","27.2%","(X)","N","N","(X)","83.1%","50.6%","(X)","N","N","(X)","N","N","(X)","93.0%","30.7%","(X)","87.4%","35.5%","","24.0%","10.8%","10.5%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","34,145","4,278","11,164","16,600","2,103","212,629","5,973","14,017","68,752","35,246","16,782","41,710","30,149","(X)","(X)","36,025","32,054","12,204","35,165","32,581","12,291","89,806","82,046","27,089","51,633","45,958","20,275","","202,945","184,259","68,299","200,895","182,243","67,502","2,875","2,595","924","N","N","N","2,358","1,871","1,436","N","N","N","N","N","N","3,085","2,803","881","2,723","2,689","1,096","","(X)","(X)","(X)","(X)","","41,926","28,246","36,921","41,631","50,236","67,558"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.5%","32.7%","48.6%","6.2%","(X)","2.8%","6.6%","32.3%","16.6%","7.9%","19.6%","14.2%","90.6%","33.8%","(X)","89.0%","33.9%","(X)","92.7%","35.0%","(X)","91.4%","30.2%","(X)","89.0%","39.3%","","(X)","90.8%","33.7%","(X)","90.7%","33.6%","(X)","90.3%","32.1%","(X)","N","N","(X)","79.3%","60.9%","(X)","N","N","(X)","N","N","(X)","90.9%","28.6%","(X)","98.8%","40.2%","","20.1%","9.5%","6.9%","3.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,202","1,960","9,776","14,874","5,592","226,934","5,114","9,466","60,015","40,626","23,717","51,161","36,835","(X)","(X)","35,860","33,825","16,118","35,354","33,662","16,808","93,753","89,130","36,164","61,967","55,737","18,906","","216,876","203,367","84,780","214,309","201,314","83,863","1,212","1,103","187","N","N","N","3,826","3,270","1,693","N","N","N","N","N","N","3,031","2,885","996","3,546","2,793","1,130","","(X)","(X)","(X)","(X)","","33,323","19,350","25,880","30,752","38,922","51,527"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
