"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","669,118","15.9%","29.2%","45.2%","9.7%","4,706,104","4.0%","5.9%","23.3%","24.6%","9.5%","20.9%","11.8%","90.1%","32.7%","992,349","89.7%","33.2%","919,683","89.9%","34.8%","1,843,306","91.5%","32.9%","950,766","88.2%","29.8%","","26.0%","14.2%","11.2%","4.4%","","38,926","21,550","30,595","35,743","52,013","67,087","","6.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","349,220","17.7%","32.6%","42.6%","7.1%","2,314,891","4.1%","6.5%","23.6%","23.8%","8.9%","20.8%","12.3%","89.4%","33.1%","508,628","88.4%","30.0%","467,111","88.3%","32.9%","909,079","90.9%","33.4%","430,073","88.8%","36.6%","","22.6%","12.5%","9.6%","4.0%","","46,649","25,536","35,951","42,799","65,874","84,578","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","319,898","13.9%","25.5%","48.1%","12.6%","2,391,213","3.9%","5.2%","23.0%","25.3%","10.2%","21.0%","11.3%","90.8%","32.4%","483,721","91.1%","36.7%","452,572","91.5%","36.9%","934,227","92.1%","32.5%","520,693","87.7%","24.1%","","29.8%","15.9%","12.6%","4.9%","","31,312","16,913","24,258","29,640","41,508","55,430","","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","178,022","14.6%","36.3%","41.8%","7.3%","1,294,025","5.4%","10.0%","40.2%","18.6%","6.8%","11.3%","7.6%","84.6%","18.9%","213,278","90.7%","24.5%","233,256","89.3%","21.4%","527,478","85.3%","18.5%","320,013","75.8%","14.2%","","28.6%","14.3%","13.3%","4.6%","","31,406","20,267","27,085","28,818","42,380","54,456","","5.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89,618","15.0%","41.8%","39.5%","3.8%","630,205","5.7%","10.6%","42.1%","17.7%","5.4%","11.1%","7.5%","83.7%","18.6%","109,215","90.2%","20.9%","119,066","88.0%","19.0%","259,044","84.0%","17.8%","142,880","74.7%","17.7%","","25.7%","11.8%","10.0%","4.3%","","39,303","23,893","35,248","38,051","54,066","67,036","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,404","14.3%","30.8%","44.1%","10.8%","663,820","5.1%","9.5%","38.5%","19.5%","8.1%","11.6%","7.7%","85.4%","19.3%","104,063","91.2%","28.3%","114,190","90.6%","23.9%","268,434","86.6%","19.0%","177,133","76.7%","11.3%","","31.7%","16.7%","15.9%","4.9%","","25,076","12,441","20,841","23,098","36,625","48,868","","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","557,500","12.5%","30.8%","46.6%","10.1%","3,879,291","3.1%","6.0%","32.0%","21.1%","10.0%","18.4%","9.4%","90.9%","27.7%","733,172","92.4%","32.8%","696,351","92.0%","32.5%","1,601,161","92.7%","26.8%","848,607","85.3%","21.0%","","25.4%","11.6%","9.5%","3.9%","","35,158","20,752","28,969","32,111","46,445","60,202","","5.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","284,569","14.5%","33.7%","43.4%","8.4%","1,900,732","3.3%","6.7%","33.2%","20.9%","9.2%","17.5%","9.2%","90.0%","26.6%","373,220","91.1%","27.3%","351,998","90.7%","29.1%","798,454","91.6%","26.1%","377,060","84.7%","24.7%","","21.2%","9.7%","7.3%","3.2%","","41,228","24,723","34,015","41,023","56,818","70,769","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","272,931","10.5%","27.8%","49.9%","11.8%","1,978,559","2.9%","5.3%","30.9%","21.4%","10.8%","19.2%","9.5%","91.8%","28.7%","359,952","93.8%","38.6%","344,353","93.3%","35.9%","802,707","93.9%","27.5%","471,547","85.7%","18.0%","","30.3%","13.6%","11.5%","4.5%","","29,366","15,424","22,857","26,697","39,550","52,758","","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58,969","12.4%","31.5%","49.2%","6.9%","383,914","1.5%","5.0%","28.4%","27.8%","10.7%","17.8%","8.8%","93.5%","26.6%","81,598","92.9%","30.8%","70,178","96.6%","26.8%","154,584","95.1%","26.2%","77,554","88.3%","22.6%","","20.7%","9.2%","7.3%","4.6%","","36,543","24,796","32,111","31,843","46,287","56,548","","6.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,205","12.9%","35.4%","46.8%","4.8%","193,301","2.0%","4.9%","31.9%","25.4%","9.9%","17.0%","8.9%","93.1%","25.9%","41,704","91.9%","27.3%","36,729","95.8%","22.6%","78,304","94.9%","25.3%","36,564","87.8%","28.8%","","15.1%","6.4%","5.2%","5.6%","","46,988","32,938","41,901","43,398","55,288","61,747","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,764","11.8%","27.2%","51.8%","9.2%","190,613","1.0%","5.1%","24.8%","30.2%","11.7%","18.5%","8.7%","94.0%","27.3%","39,894","93.9%","34.5%","33,449","97.3%","31.5%","76,280","95.3%","27.2%","40,990","88.7%","17.0%","","27.2%","12.9%","9.1%","3.7%","","27,295","13,599","24,006","25,059","39,743","52,442","","(X)"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","383,594","13.4%","30.3%","49.9%","6.4%","2,417,418","17.3%","9.7%","27.0%","12.0%","9.7%","17.2%","7.0%","72.9%","24.2%","439,708","86.1%","28.5%","473,876","84.6%","31.7%","904,171","76.4%","25.1%","599,663","48.9%","13.7%","","62.8%","46.9%","33.6%","14.1%","","17,991","10,408","14,298","17,173","25,546","36,525","","5.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","194,524","16.1%","34.0%","45.7%","4.3%","1,115,459","18.4%","11.2%","29.4%","12.6%","8.7%","14.0%","5.8%","70.4%","19.7%","210,971","82.0%","20.6%","227,936","80.1%","23.4%","416,669","72.8%","20.7%","259,883","48.7%","14.2%","","60.8%","40.6%","24.8%","11.5%","","17,795","11,052","15,208","18,635","29,632","49,001","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","189,070","10.7%","26.5%","54.3%","8.5%","1,301,959","16.4%","8.5%","25.0%","11.5%","10.5%","20.1%","8.0%","75.1%","28.0%","228,737","89.8%","35.8%","245,940","88.7%","39.3%","487,502","79.5%","28.9%","339,780","49.1%","13.4%","","64.8%","53.2%","40.9%","15.7%","","18,192","9,338","12,782","16,049","23,628","32,393","","(X)"
