"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","12,742,886","48.8%","51.2%","5.7%","5.9%","6.2%","7.0%","6.9%","12.1%","12.4%","15.1%","7.1%","6.2%","7.8%","5.2%","2.5%","40.3","78.3%","73.7%","19.2%","15.6%","9,981,972","48.1%","51.9%","1,982,418","42.2%","57.8%","","12,742,886","98.1%","1.9%","98.1%","82.3%","10.8%","0.1%","0.0%","0.0%","0.0%","0.0%","2.8%","0.8%","0.7%","0.2%","0.1%","0.3%","0.4%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","2.0%","1.9%","0.8%","0.2%","0.3%","0.1%","","12,742,886","84.0%","11.9%","0.6%","3.3%","0.1%","2.3%","","12,742,886","5.9%","1.0%","3.1%","0.1%","1.6%","94.1%","79.1%","10.4%","0.1%","2.8%","0.0%","0.2%","1.5%","0.1%","1.5%","5,579,394"
"    2010 Estimate","","12,709,630","48.7%","51.3%","5.7%","6.0%","6.2%","7.1%","6.9%","11.9%","12.7%","15.2%","6.9%","6.0%","7.8%","5.2%","2.5%","40.2","78.1%","73.4%","18.9%","15.5%","9,924,456","48.0%","52.0%","1,965,505","41.9%","58.1%","","12,709,630","98.1%","1.9%","98.1%","82.6%","10.8%","0.2%","0.0%","0.0%","0.0%","0.0%","2.8%","0.8%","0.7%","0.1%","0.0%","0.3%","0.4%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","1.8%","1.9%","0.8%","0.2%","0.2%","0.1%","","12,709,630","84.1%","11.9%","0.6%","3.1%","0.1%","2.1%","","12,709,630","5.7%","1.0%","3.0%","0.1%","1.6%","94.3%","79.4%","10.4%","0.1%","2.7%","0.0%","0.1%","1.5%","0.1%","1.4%","5,568,820"
"    2011 - 2010 Statistical Significance","","c","*","*","*","*","","*","","*","*","*","*","*","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","*","","","","","","","*","","","*","","","","","","","","","","*","","","","*","","","c","","","","*","","*","","c","*","","","","","*","*","","","*","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","1,051,302","48.4%","51.6%","5.3%","5.8%","5.9%","7.4%","7.8%","12.3%","12.8%","15.1%","6.9%","6.0%","7.2%","4.9%","2.5%","39.5","79.2%","73.8%","18.0%","14.6%","832,228","47.6%","52.4%","153,677","41.4%","58.6%","","1,051,302","97.3%","2.7%","97.3%","81.7%","6.0%","0.4%","N","N","N","N","3.2%","0.6%","0.8%","0.3%","0.1%","0.1%","0.1%","1.2%","0.0%","N","N","N","N","5.9%","2.7%","0.8%","0.3%","0.4%","0.4%","","1,051,302","83.7%","7.6%","1.2%","3.7%","0.1%","6.7%","","1,051,302","12.8%","1.1%","3.3%","0.1%","8.3%","87.2%","75.8%","5.2%","0.3%","3.1%","0.0%","0.7%","2.1%","0.4%","1.7%","464,741"
"    2010 Estimate","","1,052,886","48.3%","51.7%","5.4%","5.8%","6.0%","7.6%","7.7%","12.0%","13.1%","15.3%","6.8%","5.7%","7.1%","4.9%","2.5%","39.6","78.7%","73.2%","17.5%","14.5%","828,863","47.4%","52.6%","152,183","41.2%","58.8%","","1,052,886","97.3%","2.7%","97.3%","81.4%","6.0%","0.3%","N","N","N","N","2.9%","0.4%","0.7%","0.2%","0.0%","0.3%","0.1%","1.2%","0.1%","N","N","N","N","6.5%","2.7%","0.7%","0.4%","0.4%","0.2%","","1,052,886","83.6%","7.4%","1.2%","3.5%","0.2%","7.2%","","1,052,886","12.5%","1.0%","3.1%","0.2%","8.2%","87.5%","76.3%","5.2%","0.2%","2.9%","0.1%","0.6%","2.1%","0.4%","1.8%","463,416"
"    2011 - 2010 Statistical Significance","","c","","","*","","","","","*","*","*","","","","","","","*","*","*","*","*","*","*","*","","","","c","","","","","","","","","","","*","","","","","*","","","","","","","","","","","*","","","","c","","","","*","","","","c","c","","","","","c","*","","","*","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","4,679,230","48.6%","51.4%","6.5%","6.4%","6.4%","7.0%","7.2%","12.6%","12.9%","13.9%","6.6%","6.4%","8.2%","4.3%","1.5%","38.0","76.9%","71.9%","17.8%","14.0%","3,597,217","47.9%","52.1%","654,887","43.4%","56.6%","","4,679,230","98.2%","1.8%","98.2%","67.0%","27.9%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.3%","0.2%","0.3%","0.1%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","1.6%","1.8%","0.7%","0.4%","0.2%","0.1%","","4,679,230","68.5%","28.9%","0.9%","1.7%","0.1%","1.8%","","4,679,230","5.2%","3.1%","0.7%","0.1%","1.3%","94.8%","63.9%","27.7%","0.3%","1.3%","0.0%","0.1%","1.5%","0.0%","1.5%","2,157,063"
"    2010 Estimate","","4,636,312","48.6%","51.4%","6.5%","6.3%","6.6%","7.1%","7.2%","12.7%","13.0%","14.2%","6.6%","6.1%","8.1%","4.0%","1.6%","37.8","76.7%","71.8%","17.2%","13.7%","3,554,882","48.0%","52.0%","634,930","43.1%","56.9%","","4,636,312","98.2%","1.8%","98.2%","67.1%","28.1%","0.3%","0.0%","0.0%","0.0%","0.0%","1.2%","0.3%","0.2%","0.2%","0.0%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","1.5%","1.8%","0.7%","0.4%","0.3%","0.1%","","4,636,312","68.7%","29.0%","0.8%","1.6%","0.1%","1.7%","","4,636,312","5.0%","2.9%","0.6%","0.2%","1.3%","95.0%","64.0%","27.9%","0.2%","1.1%","0.0%","0.1%","1.6%","0.1%","1.5%","2,140,337"
"    2011 - 2010 Statistical Significance","","c","","","","","","","","","","*","","*","*","*","","","*","","*","*","*","","","*","*","*","","c","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","*","","c","","","","","","","","c","*","","","","","*","*","*","","*","","","","*","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","824,082","49.8%","50.2%","7.1%","6.8%","6.6%","7.2%","7.1%","12.7%","11.7%","14.0%","6.4%","5.9%","7.3%","4.8%","2.5%","37.1","75.5%","70.6%","18.0%","14.6%","622,233","49.6%","50.4%","120,025","43.8%","56.2%","","824,082","97.6%","2.4%","97.6%","85.9%","1.2%","8.7%","0.0%","0.2%","0.0%","7.6%","1.0%","0.2%","0.2%","0.1%","0.0%","0.1%","0.0%","0.2%","0.0%","N","N","N","N","0.9%","2.4%","0.4%","1.5%","0.1%","0.1%","","824,082","88.2%","1.8%","10.4%","1.1%","0.0%","1.0%","","824,082","2.8%","1.9%","0.1%","0.0%","0.7%","97.2%","84.6%","1.2%","8.4%","1.0%","0.0%","0.0%","2.2%","0.0%","2.1%","366,521"
"    2010 Estimate","","816,463","50.4%","49.6%","7.0%","6.3%","7.2%","7.4%","6.8%","12.7%","11.7%","14.4%","6.7%","5.3%","7.2%","4.8%","2.4%","37.3","75.2%","70.3%","17.5%","14.4%","614,383","49.7%","50.3%","117,907","43.9%","56.1%","","816,463","98.0%","2.0%","98.0%","86.0%","1.3%","9.0%","0.0%","0.1%","0.0%","8.0%","1.0%","0.0%","0.3%","0.0%","0.1%","0.1%","0.2%","0.4%","0.0%","N","N","N","N","0.7%","2.0%","0.3%","1.1%","0.2%","0.0%","","816,463","87.7%","1.7%","10.3%","1.3%","0.0%","1.0%","","816,463","2.5%","1.7%","0.2%","0.0%","0.6%","97.5%","84.6%","1.3%","8.8%","1.0%","0.0%","0.0%","1.8%","0.1%","1.7%","364,031"
"    2011 - 2010 Statistical Significance","","c","*","*","","*","*","","","","","*","","*","","","","","*","","*","","*","","","*","","","","c","*","*","*","","","","","","","","","*","","*","","","","","","","","","","","*","","*","","","","c","","","","","","","","c","*","","","","","*","","","*","","","*","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","6,403,353","48.7%","51.3%","6.2%","6.3%","6.7%","6.7%","6.9%","13.0%","13.1%","14.4%","6.6%","6.1%","7.8%","4.2%","1.7%","38.3","76.7%","72.5%","17.4%","13.7%","4,912,899","48.0%","52.0%","879,033","43.0%","57.0%","","6,403,353","98.1%","1.9%","98.1%","77.9%","16.7%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.4%","0.2%","0.1%","0.0%","0.1%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.7%","1.9%","0.6%","0.6%","0.2%","0.1%","","6,403,353","79.7%","17.6%","1.0%","1.8%","0.1%","1.9%","","6,403,353","4.6%","3.1%","0.4%","0.1%","1.1%","95.4%","75.3%","16.6%","0.2%","1.4%","0.0%","0.1%","1.7%","0.0%","1.6%","2,829,125"
"    2010 Estimate","","6,356,897","48.7%","51.3%","6.4%","6.4%","6.7%","6.9%","6.8%","12.8%","13.5%","14.4%","6.4%","6.0%","7.7%","4.2%","1.6%","38.0","76.4%","72.0%","16.9%","13.5%","4,859,663","47.9%","52.1%","859,922","42.8%","57.2%","","6,356,897","98.3%","1.7%","98.3%","78.4%","16.8%","0.3%","0.1%","0.0%","0.0%","0.0%","1.5%","0.3%","0.3%","0.2%","0.1%","0.2%","0.2%","0.4%","0.0%","N","N","N","N","1.4%","1.7%","0.6%","0.5%","0.2%","0.1%","","6,356,897","79.9%","17.6%","0.9%","1.8%","0.1%","1.6%","","6,356,897","4.5%","2.9%","0.3%","0.1%","1.2%","95.5%","75.6%","16.6%","0.2%","1.5%","0.0%","0.1%","1.5%","0.1%","1.4%","2,815,087"
"    2011 - 2010 Statistical Significance","","c","","","*","","","*","","*","*","","*","","*","","*","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","","","","","","*","","","","","","","","","","","","*","*","","*","","","","c","*","","*","","","*","","c","*","","","","","*","*","","","","","","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
