"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!Under 18 years","SEX AND AGE!!16 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","SEX AND AGE!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent","","10,273,419","48.7%","51.3%","(X)","5.9%","6.1%","6.5%","6.8%","6.7%","13.2%","12.7%","13.5%","6.7%","6.1%","9.6%","4.5%","1.7%","(X)","22.4%","80.3%","77.6%","73.4%","19.4%","15.9%","7,972,229","47.9%","52.1%","(X)","1,629,998","43.6%","56.4%","(X)","","10,273,419","97.4%","2.6%","97.4%","68.8%","21.5%","1.2%","0.2%","0.0%","0.0%","0.0%","2.9%","1.0%","0.5%","0.2%","0.1%","0.2%","0.4%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","3.0%","2.6%","1.0%","0.4%","0.4%","0.2%","","10,273,419","71.0%","23.0%","1.9%","3.5%","0.2%","3.3%","","10,273,419","9.4%","5.3%","1.0%","0.3%","2.7%","90.6%","63.0%","21.2%","1.1%","2.9%","0.1%","0.2%","2.2%","0.1%","2.1%","(X)","","7,509,879","47.7%","52.3%"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","755,393","388,300","367,093","105.8","52,802","49,455","46,420","47,099","63,713","114,379","89,406","82,316","48,512","48,622","61,449","34,440","16,780","35.4","173,136","599,020","582,257","546,046","141,122","112,669","582,257","299,237","283,020","105.7","112,669","51,182","61,487","83.2","","755,393","740,606","14,787","740,606","654,116","23,294","41,706","47","18,546","497","11,568","12,699","1,155","3,475","3,290","1,001","324","224","3,230","540","N","N","N","N","8,251","14,787","2,269","6,560","3,274","134","","755,393","668,285","26,636","49,144","16,230","1,187","9,778","","755,393","26,479","16,752","2,099","428","7,200","728,914","637,291","22,830","40,745","12,699","540","1,908","12,901","84","12,817","374,591","","564,475","290,593","273,882"
"    Percent","","755,393","51.4%","48.6%","(X)","7.0%","6.5%","6.1%","6.2%","8.4%","15.1%","11.8%","10.9%","6.4%","6.4%","8.1%","4.6%","2.2%","(X)","22.9%","79.3%","77.1%","72.3%","18.7%","14.9%","582,257","51.4%","48.6%","(X)","112,669","45.4%","54.6%","(X)","","755,393","98.0%","2.0%","98.0%","86.6%","3.1%","5.5%","0.0%","2.5%","0.1%","1.5%","1.7%","0.2%","0.5%","0.4%","0.1%","0.0%","0.0%","0.4%","0.1%","N","N","N","N","1.1%","2.0%","0.3%","0.9%","0.4%","0.0%","","755,393","88.5%","3.5%","6.5%","2.1%","0.2%","1.3%","","755,393","3.5%","2.2%","0.3%","0.1%","1.0%","96.5%","84.4%","3.0%","5.4%","1.7%","0.1%","0.3%","1.7%","0.0%","1.7%","(X)","","564,475","51.5%","48.5%"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","11,658,609","5,709,254","5,949,355","96.0","695,130","702,748","744,908","776,500","757,438","1,525,401","1,383,026","1,519,661","826,621","787,560","1,118,412","572,324","248,880","39.3","2,601,997","9,366,669","9,056,612","8,582,551","2,392,254","1,939,616","9,056,612","4,377,403","4,679,209","93.6","1,939,616","847,873","1,091,743","77.7","","11,658,609","11,317,629","340,980","11,317,629","9,480,074","1,441,353","23,720","6,123","733","130","375","257,518","93,597","50,369","19,828","11,606","12,648","15,553","53,917","4,216","1,825","784","724","883","110,748","340,980","178,102","42,436","46,451","10,888","","11,658,609","9,791,347","1,661,333","96,432","324,372","14,124","139,955","","11,658,609","436,762","195,188","126,554","8,028","106,992","11,221,847","9,204,374","1,421,030","17,866","256,437","3,423","21,355","297,362","7,847","289,515","5,201,701","","8,830,185","4,259,645","4,570,540"
"    Percent","","11,658,609","49.0%","51.0%","(X)","6.0%","6.0%","6.4%","6.7%","6.5%","13.1%","11.9%","13.0%","7.1%","6.8%","9.6%","4.9%","2.1%","(X)","22.3%","80.3%","77.7%","73.6%","20.5%","16.6%","9,056,612","48.3%","51.7%","(X)","1,939,616","43.7%","56.3%","(X)","","11,658,609","97.1%","2.9%","97.1%","81.3%","12.4%","0.2%","0.1%","0.0%","0.0%","0.0%","2.2%","0.8%","0.4%","0.2%","0.1%","0.1%","0.1%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","0.9%","2.9%","1.5%","0.4%","0.4%","0.1%","","11,658,609","84.0%","14.2%","0.8%","2.8%","0.1%","1.2%","","11,658,609","3.7%","1.7%","1.1%","0.1%","0.9%","96.3%","78.9%","12.2%","0.2%","2.2%","0.0%","0.2%","2.6%","0.1%","2.5%","(X)","","8,830,185","48.2%","51.8%"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,930,864","1,948,986","1,981,878","98.3","262,561","264,705","274,269","273,420","269,495","538,461","486,405","468,148","255,094","237,174","351,495","181,227","68,410","36.6","961,483","3,075,002","2,969,381","2,796,397","740,800","601,132","2,969,381","1,454,053","1,515,328","96.0","601,132","267,149","333,983","80.0","","3,930,864","3,627,982","302,882","3,627,982","2,837,492","286,716","302,400","125,650","143","2,305","1,574","86,704","15,022","12,399","6,896","2,128","7,126","18,537","24,596","7,163","1,171","868","400","4,724","107,507","302,882","40,763","189,803","16,286","17,551","","3,930,864","3,114,904","361,077","527,282","113,995","12,335","125,343","","3,930,864","417,708","337,021","10,604","3,198","66,885","3,513,156","2,576,937","283,068","288,580","84,404","6,407","5,479","268,281","1,504","266,777","1,734,074","","2,835,451","1,379,695","1,455,756"
"    Percent","","3,930,864","49.6%","50.4%","(X)","6.7%","6.7%","7.0%","7.0%","6.9%","13.7%","12.4%","11.9%","6.5%","6.0%","8.9%","4.6%","1.7%","(X)","24.5%","78.2%","75.5%","71.1%","18.8%","15.3%","2,969,381","49.0%","51.0%","(X)","601,132","44.4%","55.6%","(X)","","3,930,864","92.3%","7.7%","92.3%","72.2%","7.3%","7.7%","3.2%","0.0%","0.1%","0.0%","2.2%","0.4%","0.3%","0.2%","0.1%","0.2%","0.5%","0.6%","0.2%","0.0%","0.0%","0.0%","0.1%","2.7%","7.7%","1.0%","4.8%","0.4%","0.4%","","3,930,864","79.2%","9.2%","13.4%","2.9%","0.3%","3.2%","","3,930,864","10.6%","8.6%","0.3%","0.1%","1.7%","89.4%","65.6%","7.2%","7.3%","2.1%","0.2%","0.1%","6.8%","0.0%","6.8%","(X)","","2,835,451","48.7%","51.3%"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,142,776","2,054,016","2,088,760","98.3","232,253","242,751","250,856","252,475","263,246","578,534","549,489","517,835","267,444","279,025","432,538","197,285","79,045","39.3","873,774","3,370,795","3,269,002","3,108,216","874,446","708,868","3,269,002","1,605,612","1,663,390","96.5","708,868","325,729","383,139","85.0","","4,142,776","3,944,034","198,742","3,944,034","3,497,242","77,750","47,692","3,557","1,553","1,843","1,324","181,659","27,019","40,474","20,845","13,092","16,927","34,442","28,860","16,144","1,878","2,178","3,252","8,836","123,547","198,742","34,384","64,810","47,738","1,265","","4,142,776","3,682,505","124,365","126,118","246,369","34,697","145,987","","4,142,776","540,924","434,188","16,339","8,870","81,527","3,601,852","3,132,752","74,345","38,855","180,042","15,740","6,961","153,157","2,416","150,741","1,768,582","","3,060,328","1,498,352","1,561,976"
"    Percent","","4,142,776","49.6%","50.4%","(X)","5.6%","5.9%","6.1%","6.1%","6.4%","14.0%","13.3%","12.5%","6.5%","6.7%","10.4%","4.8%","1.9%","(X)","21.1%","81.4%","78.9%","75.0%","21.1%","17.1%","3,269,002","49.1%","50.9%","(X)","708,868","46.0%","54.0%","(X)","","4,142,776","95.2%","4.8%","95.2%","84.4%","1.9%","1.2%","0.1%","0.0%","0.0%","0.0%","4.4%","0.7%","1.0%","0.5%","0.3%","0.4%","0.8%","0.7%","0.4%","0.0%","0.1%","0.1%","0.2%","3.0%","4.8%","0.8%","1.6%","1.2%","0.0%","","4,142,776","88.9%","3.0%","3.0%","5.9%","0.8%","3.5%","","4,142,776","13.1%","10.5%","0.4%","0.2%","2.0%","86.9%","75.6%","1.8%","0.9%","4.3%","0.4%","0.2%","3.7%","0.1%","3.6%","(X)","","3,060,328","49.0%","51.0%"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,805,537","6,272,521","6,533,016","96.0","705,018","709,879","779,203","823,389","827,206","1,681,722","1,489,221","1,699,842","924,152","889,362","1,278,851","667,406","330,286","40.8","2,664,971","10,459,220","10,140,566","9,619,224","2,792,334","2,276,543","10,140,566","4,905,803","5,234,763","93.7","2,276,543","991,667","1,284,876","77.2","","12,805,537","12,491,105","314,432","12,491,105","10,339,488","1,437,081","23,523","3,891","352","149","490","444,588","136,818","119,718","29,764","7,627","37,652","40,929","72,080","3,425","790","376","436","1,823","243,000","314,432","142,555","33,255","54,276","11,559","","12,805,537","10,612,867","1,631,167","90,165","519,346","13,376","281,240","","12,805,537","938,428","156,932","445,442","28,329","307,725","11,867,109","9,780,941","1,367,815","14,498","442,425","2,302","23,070","236,058","8,325","227,733","5,694,402","","9,764,119","4,711,435","5,052,684"
"    Percent","","12,805,537","49.0%","51.0%","(X)","5.5%","5.5%","6.1%","6.4%","6.5%","13.1%","11.6%","13.3%","7.2%","6.9%","10.0%","5.2%","2.6%","(X)","20.8%","81.7%","79.2%","75.1%","21.8%","17.8%","10,140,566","48.4%","51.6%","(X)","2,276,543","43.6%","56.4%","(X)","","12,805,537","97.5%","2.5%","97.5%","80.7%","11.2%","0.2%","0.0%","0.0%","0.0%","0.0%","3.5%","1.1%","0.9%","0.2%","0.1%","0.3%","0.3%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","1.9%","2.5%","1.1%","0.3%","0.4%","0.1%","","12,805,537","82.9%","12.7%","0.7%","4.1%","0.1%","2.2%","","12,805,537","7.3%","1.2%","3.5%","0.2%","2.4%","92.7%","76.4%","10.7%","0.1%","3.5%","0.0%","0.2%","1.8%","0.1%","1.8%","(X)","","9,764,119","48.3%","51.7%"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,059,639","513,198","546,441","93.9","55,019","55,184","59,103","74,913","78,451","145,756","123,187","142,657","75,391","73,406","101,085","52,128","23,359","39.5","206,972","877,959","852,667","797,339","218,165","176,572","852,667","407,807","444,860","91.7","176,572","76,056","100,516","75.7","","1,059,639","1,024,987","34,652","1,024,987","866,258","66,660","5,580","N","N","N","N","38,058","10,444","10,633","3,319","581","1,453","1,906","9,722","1,128","N","N","N","N","47,303","34,652","10,611","4,440","6,079","2,233","","1,059,639","893,147","83,646","14,290","47,457","1,763","56,403","","1,059,639","163,346","10,535","40,065","2,103","110,643","896,293","763,670","57,196","3,134","37,798","1,086","7,538","25,871","3,290","22,581","468,266","","792,337","376,988","415,349"
"    Percent","","1,059,639","48.4%","51.6%","(X)","5.2%","5.2%","5.6%","7.1%","7.4%","13.8%","11.6%","13.5%","7.1%","6.9%","9.5%","4.9%","2.2%","(X)","19.5%","82.9%","80.5%","75.2%","20.6%","16.7%","852,667","47.8%","52.2%","(X)","176,572","43.1%","56.9%","(X)","","1,059,639","96.7%","3.3%","96.7%","81.8%","6.3%","0.5%","N","N","N","N","3.6%","1.0%","1.0%","0.3%","0.1%","0.1%","0.2%","0.9%","0.1%","N","N","N","N","4.5%","3.3%","1.0%","0.4%","0.6%","0.2%","","1,059,639","84.3%","7.9%","1.3%","4.5%","0.2%","5.3%","","1,059,639","15.4%","1.0%","3.8%","0.2%","10.4%","84.6%","72.1%","5.4%","0.3%","3.6%","0.1%","0.7%","2.4%","0.3%","2.1%","(X)","","792,337","47.6%","52.4%"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,024,369","2,436,902","2,587,467","94.2","289,539","307,672","317,060","336,804","329,443","648,479","619,763","644,154","331,877","333,761","537,642","244,794","83,381","39.4","1,101,720","4,049,809","3,922,649","3,700,852","1,060,611","865,817","3,922,649","1,875,631","2,047,018","91.6","865,817","385,573","480,244","80.3","","5,024,369","4,917,140","107,229","4,917,140","3,380,219","1,357,385","15,007","2,651","7","120","463","76,181","18,316","15,471","13,316","2,238","5,426","9,266","12,148","6,389","N","N","N","N","81,959","107,229","42,933","20,956","17,442","5,416","","5,024,369","3,474,484","1,415,272","47,694","100,518","8,662","92,392","","5,024,369","285,990","151,638","41,025","10,259","83,068","4,738,379","3,197,812","1,344,741","12,370","74,889","6,286","8,367","93,914","1,837","92,077","2,284,820","","3,799,298","1,807,984","1,991,314"
"    Percent","","5,024,369","48.5%","51.5%","(X)","5.8%","6.1%","6.3%","6.7%","6.6%","12.9%","12.3%","12.8%","6.6%","6.6%","10.7%","4.9%","1.7%","(X)","21.9%","80.6%","78.1%","73.7%","21.1%","17.2%","3,922,649","47.8%","52.2%","(X)","865,817","44.5%","55.5%","(X)","","5,024,369","97.9%","2.1%","97.9%","67.3%","27.0%","0.3%","0.1%","0.0%","0.0%","0.0%","1.5%","0.4%","0.3%","0.3%","0.0%","0.1%","0.2%","0.2%","0.1%","N","N","N","N","1.6%","2.1%","0.9%","0.4%","0.3%","0.1%","","5,024,369","69.2%","28.2%","0.9%","2.0%","0.2%","1.8%","","5,024,369","5.7%","3.0%","0.8%","0.2%","1.7%","94.3%","63.6%","26.8%","0.2%","1.5%","0.1%","0.2%","1.9%","0.0%","1.8%","(X)","","3,799,298","47.6%","52.4%"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","869,666","438,429","431,237","101.7","60,460","60,363","58,561","57,162","58,561","116,061","99,981","99,511","60,022","57,098","81,645","40,761","19,480","36.9","213,228","679,688","656,438","622,019","176,898","141,886","656,438","329,648","326,790","100.9","141,886","65,349","76,537","85.4","","869,666","847,012","22,654","847,012","736,581","16,987","76,078","241","159","195","53,117","10,775","2,047","1,109","1,824","154","1,088","701","3,852","944","N","N","N","N","5,647","22,654","4,301","11,624","2,331","772","","869,666","757,419","23,490","89,584","14,959","1,384","6,936","","869,666","31,278","20,938","2,514","283","7,543","838,388","715,927","16,345","74,563","10,612","779","758","19,404","0","19,404","392,650","","641,666","321,542","320,124"
"    Percent","","869,666","50.4%","49.6%","(X)","7.0%","6.9%","6.7%","6.6%","6.7%","13.3%","11.5%","11.4%","6.9%","6.6%","9.4%","4.7%","2.2%","(X)","24.5%","78.2%","75.5%","71.5%","20.3%","16.3%","656,438","50.2%","49.8%","(X)","141,886","46.1%","53.9%","(X)","","869,666","97.4%","2.6%","97.4%","84.7%","2.0%","8.7%","0.0%","0.0%","0.0%","6.1%","1.2%","0.2%","0.1%","0.2%","0.0%","0.1%","0.1%","0.4%","0.1%","N","N","N","N","0.6%","2.6%","0.5%","1.3%","0.3%","0.1%","","869,666","87.1%","2.7%","10.3%","1.7%","0.2%","0.8%","","869,666","3.6%","2.4%","0.3%","0.0%","0.9%","96.4%","82.3%","1.9%","8.6%","1.2%","0.1%","0.1%","2.2%","0.0%","2.2%","(X)","","641,666","50.1%","49.9%"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,715,984","3,272,135","3,443,849","95.0","405,128","406,018","437,851","441,907","436,627","905,358","841,848","891,828","449,469","429,550","642,650","314,717","113,033","38.6","1,508,252","5,385,691","5,207,732","4,941,171","1,322,639","1,070,400","5,207,732","2,506,343","2,701,389","92.8","1,070,400","471,577","598,823","78.8","","6,715,984","6,573,658","142,326","6,573,658","5,221,591","1,122,675","14,637","3,550","280","0","1,440","119,115","34,861","25,125","10,803","5,028","9,801","12,120","21,377","6,380","3,149","1,259","1,625","347","89,260","142,326","58,690","28,410","24,204","3,460","","6,715,984","5,349,262","1,198,891","52,698","151,488","14,975","100,480","","6,715,984","361,203","219,958","31,295","11,564","98,386","6,354,781","4,962,226","1,115,187","13,699","118,312","5,799","9,813","129,745","3,106","126,639","2,958,799","","5,016,103","2,404,125","2,611,978"
"    Percent","","6,715,984","48.7%","51.3%","(X)","6.0%","6.0%","6.5%","6.6%","6.5%","13.5%","12.5%","13.3%","6.7%","6.4%","9.6%","4.7%","1.7%","(X)","22.5%","80.2%","77.5%","73.6%","19.7%","15.9%","5,207,732","48.1%","51.9%","(X)","1,070,400","44.1%","55.9%","(X)","","6,715,984","97.9%","2.1%","97.9%","77.7%","16.7%","0.2%","0.1%","0.0%","0.0%","0.0%","1.8%","0.5%","0.4%","0.2%","0.1%","0.1%","0.2%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","1.3%","2.1%","0.9%","0.4%","0.4%","0.1%","","6,715,984","79.6%","17.9%","0.8%","2.3%","0.2%","1.5%","","6,715,984","5.4%","3.3%","0.5%","0.2%","1.5%","94.6%","73.9%","16.6%","0.2%","1.8%","0.1%","0.1%","1.9%","0.0%","1.9%","(X)","","5,016,103","47.9%","52.1%"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","28,304,596","14,062,701","14,241,895","98.7","2,020,164","2,014,510","2,105,315","2,029,893","1,985,368","4,122,739","3,833,039","3,539,389","1,673,649","1,515,038","2,090,348","1,000,729","374,415","34.7","7,365,163","21,761,733","20,939,433","19,710,078","4,342,253","3,465,492","20,939,433","10,298,806","10,640,627","96.8","3,465,492","1,545,061","1,920,431","80.5","","28,304,596","27,555,516","749,080","27,555,516","20,929,140","3,423,231","135,098","15,228","561","2,722","1,294","1,360,248","422,301","198,692","135,616","21,538","80,183","276,424","225,494","23,905","5,451","7,702","2,627","8,125","1,683,894","749,080","194,955","139,439","138,235","20,744","","28,304,596","21,574,047","3,712,453","332,793","1,571,986","61,902","1,858,983","","28,304,596","11,158,751","9,549,257","184,643","86,183","1,338,668","17,145,845","11,855,092","3,330,204","71,859","1,344,963","20,459","51,447","471,821","21,656","450,165","10,933,375","","18,174,345","8,883,274","9,291,071"
"    Percent","","28,304,596","49.7%","50.3%","(X)","7.1%","7.1%","7.4%","7.2%","7.0%","14.6%","13.5%","12.5%","5.9%","5.4%","7.4%","3.5%","1.3%","(X)","26.0%","76.9%","74.0%","69.6%","15.3%","12.2%","20,939,433","49.2%","50.8%","(X)","3,465,492","44.6%","55.4%","(X)","","28,304,596","97.4%","2.6%","97.4%","73.9%","12.1%","0.5%","0.1%","0.0%","0.0%","0.0%","4.8%","1.5%","0.7%","0.5%","0.1%","0.3%","1.0%","0.8%","0.1%","0.0%","0.0%","0.0%","0.0%","5.9%","2.6%","0.7%","0.5%","0.5%","0.1%","","28,304,596","76.2%","13.1%","1.2%","5.6%","0.2%","6.6%","","28,304,596","39.4%","33.7%","0.7%","0.3%","4.7%","60.6%","41.9%","11.8%","0.3%","4.8%","0.1%","0.2%","1.7%","0.1%","1.6%","(X)","","18,174,345","48.9%","51.1%"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,101,833","1,563,433","1,538,400","101.6","253,089","258,779","262,032","244,357","256,541","453,438","424,179","316,997","150,602","146,624","201,867","96,200","37,128","31.0","925,094","2,278,695","2,176,739","2,036,458","419,626","335,195","2,176,739","1,086,466","1,090,273","99.7","335,195","155,251","179,944","86.3","","3,101,833","3,009,557","92,276","3,009,557","2,657,013","37,669","32,694","834","228","16,390","102","75,691","11,023","19,575","9,572","5,077","5,237","9,789","15,418","26,547","2,258","1,952","6,967","15,370","179,943","92,276","11,187","14,664","23,267","343","","3,101,833","2,739,608","54,113","52,640","110,671","48,177","199,392","","3,101,833","434,290","314,394","12,676","2,660","104,560","2,667,543","2,428,495","35,689","30,073","74,530","26,198","6,703","65,855","2,166","63,689","1,084,685","","2,028,176","1,011,388","1,016,788"
"    Percent","","3,101,833","50.4%","49.6%","(X)","8.2%","8.3%","8.4%","7.9%","8.3%","14.6%","13.7%","10.2%","4.9%","4.7%","6.5%","3.1%","1.2%","(X)","29.8%","73.5%","70.2%","65.7%","13.5%","10.8%","2,176,739","49.9%","50.1%","(X)","335,195","46.3%","53.7%","(X)","","3,101,833","97.0%","3.0%","97.0%","85.7%","1.2%","1.1%","0.0%","0.0%","0.5%","0.0%","2.4%","0.4%","0.6%","0.3%","0.2%","0.2%","0.3%","0.5%","0.9%","0.1%","0.1%","0.2%","0.5%","5.8%","3.0%","0.4%","0.5%","0.8%","0.0%","","3,101,833","88.3%","1.7%","1.7%","3.6%","1.6%","6.4%","","3,101,833","14.0%","10.1%","0.4%","0.1%","3.4%","86.0%","78.3%","1.2%","1.0%","2.4%","0.8%","0.2%","2.1%","0.1%","2.1%","(X)","","2,028,176","49.9%","50.1%"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","623,657","307,810","315,847","97.5","30,096","31,828","34,982","40,017","47,467","73,864","69,237","82,775","48,173","48,068","70,961","32,894","13,295","42.6","117,755","519,579","505,902","476,146","144,043","117,150","505,902","246,999","258,903","95.4","117,150","53,742","63,408","84.8","","623,657","610,708","12,949","610,708","587,265","8,260","2,355","N","N","N","N","11,270","1,497","3,515","785","411","329","801","3,932","166","N","N","N","N","1,392","12,949","4,361","4,032","3,071","107","","623,657","600,010","13,044","6,883","14,633","446","2,086","","623,657","11,932","3,003","2,135","585","6,209","611,725","578,706","7,731","1,971","11,073","166","292","11,786","245","11,541","335,248","","494,550","242,302","252,248"
