"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2014 Estimate","","1,055,173","48.5%","51.5%","5.2%","5.4%","5.8%","7.0%","7.8%","13.1%","12.0%","14.5%","7.1%","6.3%","8.5%","4.6%","2.7%","39.8","79.9%","74.7%","19.7%","15.8%","842,618","47.8%","52.2%","167,180","42.4%","57.6%","","1,055,173","97.4%","2.6%","97.4%","81.3%","6.7%","0.5%","N","N","N","N","3.4%","0.4%","0.8%","0.3%","0.1%","0.2%","0.3%","1.3%","0.0%","N","N","N","N","5.4%","2.6%","0.7%","0.3%","0.4%","0.2%","","1,055,173","83.2%","8.0%","1.2%","4.0%","0.1%","6.2%","","1,055,173","14.0%","1.1%","3.6%","0.2%","9.2%","86.0%","74.1%","5.5%","0.4%","3.3%","0.0%","0.6%","2.1%","0.4%","1.7%","462,630"
"    2013 Estimate","","1,051,511","48.8%","51.2%","5.2%","5.4%","6.0%","7.0%","7.9%","12.8%","12.1%","14.7%","7.2%","6.2%","8.2%","4.3%","3.0%","39.9","79.8%","74.7%","19.1%","15.5%","838,664","47.9%","52.1%","162,864","42.3%","57.7%","","1,051,511","97.4%","2.6%","97.4%","80.5%","6.4%","0.4%","N","N","N","N","3.2%","0.3%","0.8%","0.3%","0.1%","0.1%","0.1%","1.4%","0.1%","N","N","N","N","6.9%","2.6%","0.9%","0.2%","0.5%","0.2%","","1,051,511","82.5%","7.8%","0.9%","3.8%","0.2%","7.4%","","1,051,511","13.6%","0.9%","3.3%","0.2%","9.2%","86.4%","74.6%","5.3%","0.3%","3.1%","0.0%","0.9%","2.1%","0.2%","1.9%","461,658"
"    2014 - 2013 Statistical Significance","","c","*","*","","","","","","*","","*","","","*","*","","","","","*","*","*","","","*","","","","c","","","","*","","","","","","","","","","","","","","","","","","","","*","","","","","","","c","","","*","*","","*","","c","c","","","","","c","*","","","","","*","","*","","*"
"    2012 Estimate","","1,050,292","48.3%","51.7%","5.3%","5.3%","6.2%","7.2%","8.0%","12.3%","12.4%","15.0%","7.0%","6.1%","7.8%","4.7%","2.7%","39.8","79.3%","74.0%","18.6%","15.1%","833,330","47.5%","52.5%","158,825","41.7%","58.3%","","1,050,292","97.2%","2.8%","97.2%","81.7%","6.5%","0.5%","N","N","N","N","3.2%","0.5%","0.8%","0.4%","0.1%","0.2%","0.2%","1.1%","0.0%","N","N","N","N","5.4%","2.8%","0.9%","0.3%","0.4%","0.2%","","1,050,292","83.8%","8.1%","1.3%","3.7%","0.2%","6.0%","","1,050,292","13.2%","1.1%","3.3%","0.2%","8.7%","86.8%","75.4%","5.0%","0.3%","3.2%","0.0%","0.8%","2.1%","0.2%","1.8%","462,618"
"    2014 - 2012 Statistical Significance","","c","*","*","*","","*","*","*","*","*","*","","","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c","","","","*","","","","c","c","","","","","c","*","*","","","","","","","",""
"    2011 Estimate","","1,051,302","48.4%","51.6%","5.3%","5.8%","5.9%","7.4%","7.8%","12.3%","12.8%","15.1%","6.9%","6.0%","7.2%","4.9%","2.5%","39.5","79.2%","73.8%","18.0%","14.6%","832,228","47.6%","52.4%","153,677","41.4%","58.6%","","1,051,302","97.3%","2.7%","97.3%","81.7%","6.0%","0.4%","N","N","N","N","3.2%","0.6%","0.8%","0.3%","0.1%","0.1%","0.1%","1.2%","0.0%","N","N","N","N","5.9%","2.7%","0.8%","0.3%","0.4%","0.4%","","1,051,302","83.7%","7.6%","1.2%","3.7%","0.1%","6.7%","","1,051,302","12.8%","1.1%","3.3%","0.1%","8.3%","87.2%","75.8%","5.2%","0.3%","3.1%","0.0%","0.7%","2.1%","0.4%","1.7%","464,741"
"    2014 - 2011 Statistical Significance","","c","","","","","","*","","*","*","*","","","*","","","","*","*","*","*","*","","","*","*","*","","c","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","c","","*","","*","","","","c","c","","","","*","c","*","","*","","","","","","","*"
"    2010 Estimate","","1,052,886","48.3%","51.7%","5.4%","5.8%","6.0%","7.6%","7.7%","12.0%","13.1%","15.3%","6.8%","5.7%","7.1%","4.9%","2.5%","39.6","78.7%","73.2%","17.5%","14.5%","828,863","47.4%","52.6%","152,183","41.2%","58.8%","","1,052,886","97.3%","2.7%","97.3%","81.4%","6.0%","0.3%","N","N","N","N","2.9%","0.4%","0.7%","0.2%","0.0%","0.3%","0.1%","1.2%","0.1%","N","N","N","N","6.5%","2.7%","0.7%","0.4%","0.4%","0.2%","","1,052,886","83.6%","7.4%","1.2%","3.5%","0.2%","7.2%","","1,052,886","12.5%","1.0%","3.1%","0.2%","8.2%","87.5%","76.3%","5.2%","0.2%","2.9%","0.1%","0.6%","2.1%","0.4%","1.8%","463,416"
"    2014 - 2010 Statistical Significance","","c","*","*","*","","","*","","*","*","*","","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","","c","","","","","*","*","","","","","*","","","","","","*","","","","","","","*","","","*","","","","c","","*","","*","","*","","c","c","","","","*","c","*","","*","*","","","","","","*"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","4,832,482","48.7%","51.3%","5.9%","6.4%","6.3%","6.6%","7.2%","12.8%","12.5%","13.4%","6.7%","6.4%","9.7%","4.4%","1.7%","38.8","77.6%","73.1%","19.5%","15.8%","3,748,798","48.0%","52.0%","761,583","44.3%","55.7%","","4,832,482","97.9%","2.1%","97.9%","67.3%","27.3%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.4%","0.3%","0.2%","0.0%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.4%","2.1%","0.9%","0.4%","0.3%","0.2%","","4,832,482","69.2%","28.6%","1.0%","1.8%","0.1%","1.6%","","4,832,482","5.3%","3.2%","0.7%","0.1%","1.3%","94.7%","63.8%","27.1%","0.3%","1.4%","0.1%","0.1%","1.9%","0.0%","1.9%","2,188,258"
"    2013 Estimate","","4,774,839","48.6%","51.4%","6.1%","6.6%","6.2%","6.8%","7.3%","12.7%","12.5%","13.6%","6.7%","6.2%","9.2%","4.4%","1.6%","38.6","77.4%","72.8%","18.8%","15.2%","3,695,519","48.0%","52.0%","725,107","44.0%","56.0%","","4,774,839","98.1%","1.9%","98.1%","67.2%","27.6%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.3%","0.3%","0.2%","0.0%","0.2%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.5%","1.9%","0.7%","0.4%","0.3%","0.1%","","4,774,839","68.8%","28.7%","0.8%","1.8%","0.1%","1.8%","","4,774,839","5.3%","3.1%","0.6%","0.1%","1.5%","94.7%","63.8%","27.5%","0.3%","1.4%","0.1%","0.1%","1.6%","0.1%","1.6%","2,158,784"
"    2014 - 2013 Statistical Significance","","c","","","*","","","","","","","*","","","*","","","","*","*","*","*","*","","","*","*","*","","c","*","*","*","","*","","","","","","","*","","","","","","","","","","","","","*","*","","","","","c","*","","*","","","","","c","","","","","","","","*","","","","","*","*","*","*"
"    2012 Estimate","","4,723,723","48.6%","51.4%","6.2%","6.5%","6.4%","6.8%","7.3%","12.7%","12.7%","13.7%","6.8%","6.1%","8.9%","4.3%","1.6%","38.3","77.1%","72.3%","18.4%","14.7%","3,642,747","47.9%","52.1%","694,776","43.6%","56.4%","","4,723,723","98.0%","2.0%","98.0%","67.0%","27.7%","0.3%","0.1%","0.0%","0.0%","0.0%","1.3%","0.3%","0.2%","0.2%","0.1%","0.1%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.7%","2.0%","0.8%","0.3%","0.2%","0.1%","","4,723,723","68.7%","28.8%","0.9%","1.7%","0.1%","1.9%","","4,723,723","5.3%","2.8%","0.7%","0.2%","1.5%","94.7%","63.9%","27.4%","0.3%","1.3%","0.0%","0.1%","1.7%","0.1%","1.6%","2,156,768"
"    2014 - 2012 Statistical Significance","","c","","","*","","","","","","*","*","","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","","c","","","","*","*","","","","","","*","*","*","","","*","*","","","","","","","*","","","*","","","","c","*","*","*","*","","*","","c","","*","","*","","","*","*","","*","","","","*","*","*"
"    2011 Estimate","","4,679,230","48.6%","51.4%","6.5%","6.4%","6.4%","7.0%","7.2%","12.6%","12.9%","13.9%","6.6%","6.4%","8.2%","4.3%","1.5%","38.0","76.9%","71.9%","17.8%","14.0%","3,597,217","47.9%","52.1%","654,887","43.4%","56.6%","","4,679,230","98.2%","1.8%","98.2%","67.0%","27.9%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.3%","0.2%","0.3%","0.1%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","1.6%","1.8%","0.7%","0.4%","0.2%","0.1%","","4,679,230","68.5%","28.9%","0.9%","1.7%","0.1%","1.8%","","4,679,230","5.2%","3.1%","0.7%","0.1%","1.3%","94.8%","63.9%","27.7%","0.3%","1.3%","0.0%","0.1%","1.5%","0.0%","1.5%","2,157,063"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","","","*","*","","","*","","*","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","*","","","","","","","","*","","","","","","","","","","","","*","*","","*","","","c","*","*","","*","","","","c","*","","","","","*","*","*","","","","","*","","*","*"
"    2010 Estimate","","4,636,312","48.6%","51.4%","6.5%","6.3%","6.6%","7.1%","7.2%","12.7%","13.0%","14.2%","6.6%","6.1%","8.1%","4.0%","1.6%","37.8","76.7%","71.8%","17.2%","13.7%","3,554,882","48.0%","52.0%","634,930","43.1%","56.9%","","4,636,312","98.2%","1.8%","98.2%","67.1%","28.1%","0.3%","0.0%","0.0%","0.0%","0.0%","1.2%","0.3%","0.2%","0.2%","0.0%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","1.5%","1.8%","0.7%","0.4%","0.3%","0.1%","","4,636,312","68.7%","29.0%","0.8%","1.6%","0.1%","1.7%","","4,636,312","5.0%","2.9%","0.6%","0.2%","1.3%","95.0%","64.0%","27.9%","0.2%","1.1%","0.0%","0.1%","1.6%","0.1%","1.5%","2,140,337"
"    2014 - 2010 Statistical Significance","","c","","","*","","*","*","","","*","*","","*","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","","*","","*","","","","*","*","*","","","","","","","","","","","","*","*","","","*","","c","*","*","*","*","","","","c","*","*","","","","*","*","*","","*","","*","*","*","*","*"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","853,175","50.1%","49.9%","7.1%","6.8%","6.9%","6.9%","7.2%","13.1%","11.4%","12.5%","6.9%","6.1%","8.1%","4.6%","2.4%","36.6","75.3%","70.9%","18.8%","15.2%","642,282","49.8%","50.2%","129,354","45.3%","54.7%","","853,175","97.2%","2.8%","97.2%","84.9%","1.7%","8.4%","0.0%","0.1%","0.0%","7.3%","1.3%","0.1%","0.3%","0.2%","0.0%","0.1%","0.1%","0.5%","0.1%","N","N","N","N","0.8%","2.8%","0.5%","1.6%","0.3%","0.1%","","853,175","87.6%","2.4%","10.1%","1.7%","0.1%","0.9%","","853,175","3.4%","2.5%","0.3%","0.0%","0.6%","96.6%","83.2%","1.7%","7.9%","1.3%","0.0%","0.1%","2.5%","0.0%","2.4%","376,347"
"    2013 Estimate","","844,877","50.2%","49.8%","6.9%","7.3%","6.6%","6.7%","7.3%","13.1%","11.5%","12.9%","6.7%","6.3%","7.7%","4.8%","2.3%","36.6","75.3%","71.0%","18.2%","14.7%","636,396","49.8%","50.2%","124,503","44.8%","55.2%","","844,877","97.1%","2.9%","97.1%","85.1%","1.5%","8.5%","0.0%","0.1%","0.0%","7.2%","1.1%","0.1%","0.2%","0.0%","0.0%","0.1%","0.1%","0.6%","0.0%","N","N","N","N","0.8%","2.9%","0.4%","1.8%","0.2%","0.1%","","844,877","87.8%","2.2%","10.5%","1.4%","0.1%","1.0%","","844,877","3.2%","2.3%","0.1%","0.1%","0.8%","96.8%","83.4%","1.5%","8.2%","1.1%","0.0%","0.0%","2.5%","0.0%","2.5%","370,207"
"    2014 - 2013 Statistical Significance","","c","","","","*","","","","","","*","","","*","","","","","","*","*","*","","","*","*","*","","c","","","","","","","","","","","*","","","*","","","","","","","","","","","","","","","","","c","","","","*","","","","c","","","*","","","","*","","","*","","","","","","*"
"    2012 Estimate","","833,354","50.1%","49.9%","7.0%","7.1%","6.5%","7.1%","7.0%","13.3%","11.3%","13.3%","7.0%","5.9%","7.4%","4.7%","2.4%","36.7","75.5%","70.8%","17.8%","14.5%","629,132","49.8%","50.2%","121,092","44.7%","55.3%","","833,354","97.9%","2.1%","97.9%","85.4%","1.6%","8.8%","0.0%","0.1%","0.1%","7.8%","1.1%","0.1%","0.2%","0.1%","0.0%","0.1%","0.1%","0.4%","0.1%","N","N","N","N","0.9%","2.1%","0.5%","1.0%","0.2%","0.1%","","833,354","87.4%","2.2%","10.0%","1.4%","0.1%","1.1%","","833,354","3.0%","1.8%","0.2%","0.1%","0.9%","97.0%","83.8%","1.5%","8.5%","1.1%","0.1%","0.1%","1.8%","0.1%","1.7%","368,247"
"    2014 - 2012 Statistical Significance","","c","","","","","*","","","","","*","","","*","","","","*","","*","*","*","","","*","*","*","","c","*","*","*","*","","","","","","*","","","","","","","","","","","","","","","*","","*","*","","","c","","","","*","","","","c","*","*","","","*","*","*","","*","","","","*","","*","*"
"    2011 Estimate","","824,082","49.8%","50.2%","7.1%","6.8%","6.6%","7.2%","7.1%","12.7%","11.7%","14.0%","6.4%","5.9%","7.3%","4.8%","2.5%","37.1","75.5%","70.6%","18.0%","14.6%","622,233","49.6%","50.4%","120,025","43.8%","56.2%","","824,082","97.6%","2.4%","97.6%","85.9%","1.2%","8.7%","0.0%","0.2%","0.0%","7.6%","1.0%","0.2%","0.2%","0.1%","0.0%","0.1%","0.0%","0.2%","0.0%","N","N","N","N","0.9%","2.4%","0.4%","1.5%","0.1%","0.1%","","824,082","88.2%","1.8%","10.4%","1.1%","0.0%","1.0%","","824,082","2.8%","1.9%","0.1%","0.0%","0.7%","97.2%","84.6%","1.2%","8.4%","1.0%","0.0%","0.0%","2.2%","0.0%","2.1%","366,521"
"    2014 - 2011 Statistical Significance","","c","","","","","","","","*","*","*","*","","*","","","*","*","","*","*","*","","","*","*","*","","c","","","","*","*","","","","","","*","*","","","","","","*","","","","","","","","","","*","","","c","*","*","","*","*","","","c","*","*","*","","","*","*","*","*","*","","*","","","","*"
"    2010 Estimate","","816,463","50.4%","49.6%","7.0%","6.3%","7.2%","7.4%","6.8%","12.7%","11.7%","14.4%","6.7%","5.3%","7.2%","4.8%","2.4%","37.3","75.2%","70.3%","17.5%","14.4%","614,383","49.7%","50.3%","117,907","43.9%","56.1%","","816,463","98.0%","2.0%","98.0%","86.0%","1.3%","9.0%","0.0%","0.1%","0.0%","8.0%","1.0%","0.0%","0.3%","0.0%","0.1%","0.1%","0.2%","0.4%","0.0%","N","N","N","N","0.7%","2.0%","0.3%","1.1%","0.2%","0.0%","","816,463","87.7%","1.7%","10.3%","1.3%","0.0%","1.0%","","816,463","2.5%","1.7%","0.2%","0.0%","0.6%","97.5%","84.6%","1.3%","8.8%","1.0%","0.0%","0.0%","1.8%","0.1%","1.7%","364,031"
"    2014 - 2010 Statistical Significance","","c","","","","*","","*","*","*","*","*","","*","*","","","*","","*","*","*","*","","","*","*","*","","c","*","*","*","*","*","*","","","","*","*","","","*","","","","","","","","","","","*","*","*","","","","c","","*","","*","","","","c","*","*","","","","*","*","*","*","*","","","*","","*","*"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","6,549,352","48.7%","51.3%","6.1%","6.4%","6.4%","6.6%","6.9%","13.0%","12.9%","13.6%","6.8%","6.1%","9.0%","4.4%","1.6%","38.6","77.2%","73.0%","18.6%","15.1%","5,057,015","48.0%","52.0%","986,813","43.8%","56.2%","","6,549,352","97.9%","2.1%","97.9%","77.6%","16.9%","0.3%","0.1%","0.0%","0.0%","0.0%","1.6%","0.3%","0.3%","0.2%","0.1%","0.1%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","1.5%","2.1%","0.7%","0.6%","0.3%","0.1%","","6,549,352","79.5%","17.9%","1.0%","2.0%","0.2%","1.7%","","6,549,352","4.9%","3.1%","0.4%","0.2%","1.3%","95.1%","74.5%","16.8%","0.2%","1.6%","0.0%","0.1%","1.8%","0.0%","1.8%","2,869,419"
"    2013 Estimate","","6,495,978","48.9%","51.1%","6.1%","6.5%","6.5%","6.6%","7.1%","13.0%","13.0%","13.8%","6.7%","6.1%","8.6%","4.4%","1.6%","38.5","77.0%","72.9%","18.2%","14.6%","5,003,897","48.1%","51.9%","950,190","43.7%","56.3%","","6,495,978","98.1%","1.9%","98.1%","77.9%","17.0%","0.2%","N","N","N","N","1.5%","0.4%","0.3%","0.1%","0.1%","0.2%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","1.9%","0.8%","0.5%","0.3%","0.1%","","6,495,978","79.7%","17.9%","0.9%","1.9%","0.1%","1.6%","","6,495,978","4.8%","3.1%","0.3%","0.2%","1.1%","95.2%","74.8%","16.9%","0.2%","1.5%","0.0%","0.1%","1.7%","0.0%","1.6%","2,840,998"
"    2014 - 2013 Statistical Significance","","c","*","*","","","","","*","","*","*","","","*","","","","*","","*","*","*","*","*","*","","","","c","*","*","*","*","","","","","","","","","","","*","","","","","","","","","","*","","*","","","","c","","","*","*","*","","","c","*","","","","","*","*","","","","","","*","","*","*"
"    2012 Estimate","","6,456,243","48.7%","51.3%","6.2%","6.5%","6.5%","6.6%","7.0%","13.1%","13.1%","14.0%","6.7%","6.0%","8.3%","4.4%","1.6%","38.2","76.9%","72.6%","17.8%","14.3%","4,962,026","48.0%","52.0%","920,721","43.4%","56.6%","","6,456,243","98.2%","1.8%","98.2%","78.0%","16.9%","0.3%","0.1%","0.0%","0.0%","0.0%","1.5%","0.4%","0.2%","0.1%","0.1%","0.2%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","1.8%","0.6%","0.5%","0.3%","0.0%","","6,456,243","79.7%","17.7%","0.9%","1.9%","0.1%","1.6%","","6,456,243","4.8%","3.1%","0.4%","0.2%","1.1%","95.2%","75.0%","16.8%","0.2%","1.5%","0.0%","0.1%","1.7%","0.1%","1.6%","2,834,808"
"    2014 - 2012 Statistical Significance","","c","","","*","","","","","","*","*","","","*","","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","","","","","*","","","*","","*","","","","","","","","","*","*","","","","","c","","*","*","*","*","","","c","*","","","","","*","*","","","*","","","*","*","*","*"
"    2011 Estimate","","6,403,353","48.7%","51.3%","6.2%","6.3%","6.7%","6.7%","6.9%","13.0%","13.1%","14.4%","6.6%","6.1%","7.8%","4.2%","1.7%","38.3","76.7%","72.5%","17.4%","13.7%","4,912,899","48.0%","52.0%","879,033","43.0%","57.0%","","6,403,353","98.1%","1.9%","98.1%","77.9%","16.7%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.4%","0.2%","0.1%","0.0%","0.1%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.7%","1.9%","0.6%","0.6%","0.2%","0.1%","","6,403,353","79.7%","17.6%","1.0%","1.8%","0.1%","1.9%","","6,403,353","4.6%","3.1%","0.4%","0.1%","1.1%","95.4%","75.3%","16.6%","0.2%","1.4%","0.0%","0.1%","1.7%","0.0%","1.6%","2,829,125"
"    2014 - 2011 Statistical Significance","","c","","","*","","*","*","","","*","*","","","*","*","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","","","","","*","","","*","*","","","","","","","*","","","*","*","","","","","c","","*","","*","*","","","c","*","","","","*","*","*","","","*","","","*","","*","*"
"    2010 Estimate","","6,356,897","48.7%","51.3%","6.4%","6.4%","6.7%","6.9%","6.8%","12.8%","13.5%","14.4%","6.4%","6.0%","7.7%","4.2%","1.6%","38.0","76.4%","72.0%","16.9%","13.5%","4,859,663","47.9%","52.1%","859,922","42.8%","57.2%","","6,356,897","98.3%","1.7%","98.3%","78.4%","16.8%","0.3%","0.1%","0.0%","0.0%","0.0%","1.5%","0.3%","0.3%","0.2%","0.1%","0.2%","0.2%","0.4%","0.0%","N","N","N","N","1.4%","1.7%","0.6%","0.5%","0.2%","0.1%","","6,356,897","79.9%","17.6%","0.9%","1.8%","0.1%","1.6%","","6,356,897","4.5%","2.9%","0.3%","0.1%","1.2%","95.5%","75.6%","16.6%","0.2%","1.5%","0.0%","0.1%","1.5%","0.1%","1.4%","2,815,087"
"    2014 - 2010 Statistical Significance","","c","","","*","","*","*","","*","*","*","*","","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","","","","","","*","*","*","","","","","","","","","","","","","*","*","*","*","","","c","*","*","*","*","*","","","c","*","","","","","*","*","*","","*","","","*","","*","*"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","26,956,958","49.7%","50.3%","7.2%","7.5%","7.4%","7.2%","7.3%","14.5%","13.6%","12.8%","6.0%","5.0%","6.8%","3.4%","1.3%","34.3","73.6%","69.2%","14.4%","11.5%","19,841,122","49.1%","50.9%","3,096,013","44.3%","55.7%","","26,956,958","97.5%","2.5%","97.5%","75.2%","12.0%","0.5%","0.1%","0.0%","0.0%","0.0%","4.3%","1.2%","0.7%","0.5%","0.1%","0.3%","0.9%","0.7%","0.1%","0.0%","0.0%","0.0%","0.0%","5.5%","2.5%","0.6%","0.5%","0.5%","0.1%","","26,956,958","77.3%","12.9%","1.2%","5.0%","0.2%","6.1%","","26,956,958","38.6%","33.5%","0.7%","0.3%","4.2%","61.4%","43.4%","11.7%","0.2%","4.3%","0.1%","0.1%","1.6%","0.1%","1.5%","10,426,760"
"    2013 Estimate","","26,448,193","49.7%","50.3%","7.3%","7.6%","7.4%","7.2%","7.4%","14.4%","13.6%","13.0%","5.9%","4.9%","6.6%","3.3%","1.3%","34.0","73.4%","68.9%","14.0%","11.2%","19,407,275","49.2%","50.8%","2,966,527","44.2%","55.8%","","26,448,193","97.6%","2.4%","97.6%","75.0%","11.9%","0.4%","0.1%","0.0%","0.0%","0.0%","4.1%","1.1%","0.7%","0.5%","0.1%","0.3%","0.8%","0.7%","0.1%","0.0%","0.0%","0.0%","0.0%","6.0%","2.4%","0.6%","0.5%","0.4%","0.1%","","26,448,193","77.1%","12.8%","1.2%","4.8%","0.2%","6.6%","","26,448,193","38.4%","33.6%","0.6%","0.2%","4.0%","61.6%","43.9%","11.6%","0.2%","4.1%","0.1%","0.1%","1.6%","0.1%","1.5%","10,256,203"
"    2014 - 2013 Statistical Significance","","c","*","*","*","*","","*","*","*","","*","","*","*","*","","*","*","*","*","*","*","*","*","*","","","","c","","","","","*","","","","*","","*","*","","","","","","","","","","","*","*","","","","*","","","c","","*","","*","","*","","c","*","","*","*","*","*","*","*","","*","","","","","","*"
