"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Percent","","1,052,886","48.3%","51.7%","5.4%","5.8%","6.0%","7.6%","7.7%","12.0%","13.1%","15.3%","6.8%","5.7%","7.1%","4.9%","2.5%","(X)","78.7%","73.2%","17.5%","14.5%","828,863","47.4%","52.6%","152,183","41.2%","58.8%","","1,052,886","97.3%","2.7%","97.3%","81.4%","6.0%","0.3%","N","N","N","N","2.9%","0.4%","0.7%","0.2%","0.0%","0.3%","0.1%","1.2%","0.1%","N","N","N","N","6.5%","2.7%","0.7%","0.4%","0.4%","0.2%","","1,052,886","83.6%","7.4%","1.2%","3.5%","0.2%","7.2%","","1,052,886","12.5%","1.0%","3.1%","0.2%","8.2%","87.5%","76.3%","5.2%","0.2%","2.9%","0.1%","0.6%","2.1%","0.4%","1.8%","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,636,312","2,253,035","2,383,277","301,793","292,723","305,301","330,539","331,599","587,427","604,903","658,778","305,410","282,909","374,992","187,666","72,272","37.8","3,554,882","3,330,442","798,258","634,930","3,554,882","1,705,256","1,849,626","634,930","273,959","360,971","","4,636,312","4,551,888","84,424","4,551,888","3,110,798","1,301,988","12,675","1,948","190","0","534","53,658","12,740","9,990","10,113","2,194","4,913","4,125","9,583","1,642","N","N","N","N","71,127","84,424","32,148","18,544","12,028","3,062","","4,636,312","3,183,859","1,345,154","39,255","73,492","4,685","80,665","","4,636,312","231,001","133,354","27,212","7,874","62,561","4,405,311","2,969,011","1,294,689","11,425","52,987","1,642","3,119","72,438","3,035","69,403","2,140,337"
"    Percent","","4,636,312","48.6%","51.4%","6.5%","6.3%","6.6%","7.1%","7.2%","12.7%","13.0%","14.2%","6.6%","6.1%","8.1%","4.0%","1.6%","(X)","76.7%","71.8%","17.2%","13.7%","3,554,882","48.0%","52.0%","634,930","43.1%","56.9%","","4,636,312","98.2%","1.8%","98.2%","67.1%","28.1%","0.3%","0.0%","0.0%","0.0%","0.0%","1.2%","0.3%","0.2%","0.2%","0.0%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","1.5%","1.8%","0.7%","0.4%","0.3%","0.1%","","4,636,312","68.7%","29.0%","0.8%","1.6%","0.1%","1.7%","","4,636,312","5.0%","2.9%","0.6%","0.2%","1.3%","95.0%","64.0%","27.9%","0.2%","1.1%","0.0%","0.1%","1.6%","0.1%","1.5%","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","816,463","411,170","405,293","57,488","51,621","59,025","60,393","55,557","103,800","95,771","117,588","54,320","42,993","58,786","39,521","19,600","37.3","614,383","574,282","142,988","117,907","614,383","305,388","308,995","117,907","51,802","66,105","","816,463","800,367","16,096","800,367","701,880","10,743","73,601","253","732","203","65,575","8,001","321","2,177","295","464","570","1,242","2,932","82","N","N","N","N","6,060","16,096","2,268","8,762","1,776","238","","816,463","716,434","13,922","84,460","10,717","408","7,769","","816,463","20,467","13,745","1,328","160","5,234","795,996","690,834","10,354","72,153","7,826","82","379","14,368","548","13,820","364,031"
"    Percent","","816,463","50.4%","49.6%","7.0%","6.3%","7.2%","7.4%","6.8%","12.7%","11.7%","14.4%","6.7%","5.3%","7.2%","4.8%","2.4%","(X)","75.2%","70.3%","17.5%","14.4%","614,383","49.7%","50.3%","117,907","43.9%","56.1%","","816,463","98.0%","2.0%","98.0%","86.0%","1.3%","9.0%","0.0%","0.1%","0.0%","8.0%","1.0%","0.0%","0.3%","0.0%","0.1%","0.1%","0.2%","0.4%","0.0%","N","N","N","N","0.7%","2.0%","0.3%","1.1%","0.2%","0.0%","","816,463","87.7%","1.7%","10.3%","1.3%","0.0%","1.0%","","816,463","2.5%","1.7%","0.2%","0.0%","0.6%","97.5%","84.6%","1.3%","8.8%","1.0%","0.0%","0.0%","1.8%","0.1%","1.7%","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,356,897","3,095,030","3,261,867","406,413","407,902","428,186","437,892","434,113","814,655","859,877","918,112","409,434","380,391","492,548","267,656","99,718","38.0","4,859,663","4,578,870","1,077,306","859,922","4,859,663","2,328,962","2,530,701","859,922","368,000","491,922","","6,356,897","6,248,900","107,997","6,248,900","4,982,270","1,066,253","16,704","5,340","583","226","82","93,038","15,972","17,196","10,465","3,985","11,125","9,953","24,342","2,039","N","N","N","N","88,596","107,997","38,791","30,051","13,523","3,441","","6,356,897","5,079,389","1,117,185","55,263","112,377","4,076","103,396","","6,356,897","287,505","183,532","21,892","8,601","73,480","6,069,392","4,805,829","1,056,642","11,885","92,673","1,973","4,972","95,418","4,330","91,088","2,815,087"
"    Percent","","6,356,897","48.7%","51.3%","6.4%","6.4%","6.7%","6.9%","6.8%","12.8%","13.5%","14.4%","6.4%","6.0%","7.7%","4.2%","1.6%","(X)","76.4%","72.0%","16.9%","13.5%","4,859,663","47.9%","52.1%","859,922","42.8%","57.2%","","6,356,897","98.3%","1.7%","98.3%","78.4%","16.8%","0.3%","0.1%","0.0%","0.0%","0.0%","1.5%","0.3%","0.3%","0.2%","0.1%","0.2%","0.2%","0.4%","0.0%","N","N","N","N","1.4%","1.7%","0.6%","0.5%","0.2%","0.1%","","6,356,897","79.9%","17.6%","0.9%","1.8%","0.1%","1.6%","","6,356,897","4.5%","2.9%","0.3%","0.1%","1.2%","95.5%","75.6%","16.6%","0.2%","1.5%","0.0%","0.1%","1.5%","0.1%","1.4%","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","25,257,114","12,531,720","12,725,394","1,929,338","1,939,137","1,898,149","1,889,030","1,829,338","3,607,541","3,479,592","3,443,947","1,423,708","1,198,391","1,482,047","824,522","312,374","33.6","18,369,567","17,213,867","3,301,685","2,618,943","18,369,567","9,005,720","9,363,847","2,618,943","1,142,219","1,476,724","","25,257,114","24,709,066","548,048","24,709,066","18,716,520","2,970,243","129,162","18,203","1,353","2,770","2,776","969,500","247,274","159,513","94,711","19,999","75,619","222,139","150,245","18,528","6,599","6,407","1,661","3,861","1,905,113","548,048","126,294","105,402","87,467","16,634","","25,257,114","19,191,255","3,159,265","279,613","1,103,096","37,998","2,069,703","","25,257,114","9,533,880","8,394,487","138,136","47,510","953,747","15,723,234","11,414,433","2,904,687","67,988","957,150","15,276","37,760","325,940","17,562","308,378","9,996,209"
"    Percent","","25,257,114","49.6%","50.4%","7.6%","7.7%","7.5%","7.5%","7.2%","14.3%","13.8%","13.6%","5.6%","4.7%","5.9%","3.3%","1.2%","(X)","72.7%","68.2%","13.1%","10.4%","18,369,567","49.0%","51.0%","2,618,943","43.6%","56.4%","","25,257,114","97.8%","2.2%","97.8%","74.1%","11.8%","0.5%","0.1%","0.0%","0.0%","0.0%","3.8%","1.0%","0.6%","0.4%","0.1%","0.3%","0.9%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","7.5%","2.2%","0.5%","0.4%","0.3%","0.1%","","25,257,114","76.0%","12.5%","1.1%","4.4%","0.2%","8.2%","","25,257,114","37.7%","33.2%","0.5%","0.2%","3.8%","62.3%","45.2%","11.5%","0.3%","3.8%","0.1%","0.1%","1.3%","0.1%","1.2%","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,776,469","1,397,849","1,378,620","263,603","249,502","229,648","222,952","225,940","449,176","332,449","310,748","132,984","108,667","139,597","80,484","30,719","29.2","1,902,793","1,764,865","313,565","250,800","1,902,793","946,012","956,781","250,800","113,608","137,192","","2,776,469","2,710,979","65,490","2,710,979","2,466,280","28,701","34,663","798","497","19,434","639","51,846","6,407","11,381","4,093","6,349","6,670","6,742","10,204","26,013","2,520","417","12,069","11,007","103,476","65,490","8,672","11,562","18,441","524","","2,776,469","2,526,041","40,045","49,935","75,415","38,044","116,445","","2,776,469","361,956","279,648","6,956","3,193","72,159","2,414,513","2,230,424","26,709","29,206","51,690","24,237","3,295","48,952","1,326","47,626","981,821"
"    Percent","","2,776,469","50.3%","49.7%","9.5%","9.0%","8.3%","8.0%","8.1%","16.2%","12.0%","11.2%","4.8%","3.9%","5.0%","2.9%","1.1%","(X)","68.5%","63.6%","11.3%","9.0%","1,902,793","49.7%","50.3%","250,800","45.3%","54.7%","","2,776,469","97.6%","2.4%","97.6%","88.8%","1.0%","1.2%","0.0%","0.0%","0.7%","0.0%","1.9%","0.2%","0.4%","0.1%","0.2%","0.2%","0.2%","0.4%","0.9%","0.1%","0.0%","0.4%","0.4%","3.7%","2.4%","0.3%","0.4%","0.7%","0.0%","","2,776,469","91.0%","1.4%","1.8%","2.7%","1.4%","4.2%","","2,776,469","13.0%","10.1%","0.3%","0.1%","2.6%","87.0%","80.3%","1.0%","1.1%","1.9%","0.9%","0.1%","1.8%","0.0%","1.7%","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","625,960","308,172","317,788","32,268","32,676","39,868","45,157","44,949","69,728","77,686","101,395","50,456","40,546","49,563","28,416","13,252","41.5","496,299","464,717","114,257","91,231","496,299","241,229","255,070","91,231","40,380","50,851","","625,960","615,645","10,315","615,645","597,325","6,564","1,542","N","N","N","N","7,813","935","1,683","296","316","850","1,668","2,065","186","N","N","N","N","2,215","10,315","3,018","3,725","2,393","0","","625,960","607,394","9,795","5,403","10,856","766","2,654","","625,960","9,692","3,543","1,604","1,053","3,492","616,268","590,069","6,439","1,497","7,782","186","691","9,604","213","9,391","322,698"
"    Percent","","625,960","49.2%","50.8%","5.2%","5.2%","6.4%","7.2%","7.2%","11.1%","12.4%","16.2%","8.1%","6.5%","7.9%","4.5%","2.1%","(X)","79.3%","74.2%","18.3%","14.6%","496,299","48.6%","51.4%","91,231","44.3%","55.7%","","625,960","98.4%","1.6%","98.4%","95.4%","1.0%","0.2%","N","N","N","N","1.2%","0.1%","0.3%","0.0%","0.1%","0.1%","0.3%","0.3%","0.0%","N","N","N","N","0.4%","1.6%","0.5%","0.6%","0.4%","0.0%","","625,960","97.0%","1.6%","0.9%","1.7%","0.1%","0.4%","","625,960","1.5%","0.6%","0.3%","0.2%","0.6%","98.5%","94.3%","1.0%","0.2%","1.2%","0.0%","0.1%","1.5%","0.0%","1.5%","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,024,617","3,941,957","4,082,660","507,432","509,030","520,776","564,057","562,021","1,084,897","1,120,016","1,212,119","507,336","456,658","552,910","306,650","120,715","37.5","6,170,996","5,797,331","1,244,061","980,275","6,170,996","2,989,464","3,181,532","980,275","423,376","556,899","","8,024,617","7,805,319","219,298","7,805,319","5,573,934","1,569,497","24,477","4,390","1,101","178","580","438,003","100,459","60,240","63,951","10,637","73,427","55,690","73,599","6,709","3,129","1,935","561","1,084","192,699","219,298","66,914","23,891","58,399","10,982","","8,024,617","5,755,827","1,671,545","69,431","521,880","20,609","223,548","","8,024,617","630,112","163,627","72,035","17,099","377,351","7,394,505","5,195,423","1,544,372","16,289","433,641","5,797","15,123","183,860","7,938","175,922","3,368,674"
"    Percent","","8,024,617","49.1%","50.9%","6.3%","6.3%","6.5%","7.0%","7.0%","13.5%","14.0%","15.1%","6.3%","5.7%","6.9%","3.8%","1.5%","(X)","76.9%","72.2%","15.5%","12.2%","6,170,996","48.4%","51.6%","980,275","43.2%","56.8%","","8,024,617","97.3%","2.7%","97.3%","69.5%","19.6%","0.3%","0.1%","0.0%","0.0%","0.0%","5.5%","1.3%","0.8%","0.8%","0.1%","0.9%","0.7%","0.9%","0.1%","0.0%","0.0%","0.0%","0.0%","2.4%","2.7%","0.8%","0.3%","0.7%","0.1%","","8,024,617","71.7%","20.8%","0.9%","6.5%","0.3%","2.8%","","8,024,617","7.9%","2.0%","0.9%","0.2%","4.7%","92.1%","64.7%","19.2%","0.2%","5.4%","0.1%","0.2%","2.3%","0.1%","2.2%","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,744,496","3,358,423","3,386,073","438,209","437,222","436,106","458,207","469,095","936,043","911,095","984,611","454,144","389,386","458,368","251,288","120,722","37.2","5,160,913","4,870,034","1,054,285","830,378","5,160,913","2,546,980","2,613,933","830,378","370,406","459,972","","6,744,496","6,441,241","303,255","6,441,241","5,308,097","239,112","99,736","3,081","2,524","2,208","1,920","485,029","57,306","93,987","90,824","35,013","63,689","68,998","75,212","39,889","5,129","10,341","15,294","9,125","269,378","303,255","53,505","71,266","80,587","7,109","","6,744,496","5,573,501","325,148","198,292","605,031","71,049","307,132","","6,744,496","760,434","625,370","28,298","8,485","98,281","5,984,062","4,888,317","229,359","86,381","481,584","39,011","7,300","252,110","8,847","243,263","2,888,594"
"    Percent","","6,744,496","49.8%","50.2%","6.5%","6.5%","6.5%","6.8%","7.0%","13.9%","13.5%","14.6%","6.7%","5.8%","6.8%","3.7%","1.8%","(X)","76.5%","72.2%","15.6%","12.3%","5,160,913","49.4%","50.6%","830,378","44.6%","55.4%","","6,744,496","95.5%","4.5%","95.5%","78.7%","3.5%","1.5%","0.0%","0.0%","0.0%","0.0%","7.2%","0.8%","1.4%","1.3%","0.5%","0.9%","1.0%","1.1%","0.6%","0.1%","0.2%","0.2%","0.1%","4.0%","4.5%","0.8%","1.1%","1.2%","0.1%","","6,744,496","82.6%","4.8%","2.9%","9.0%","1.1%","4.6%","","6,744,496","11.3%","9.3%","0.4%","0.1%","1.5%","88.7%","72.5%","3.4%","1.3%","7.1%","0.6%","0.1%","3.7%","0.1%","3.6%","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,853,973","913,160","940,813","101,877","107,557","108,815","122,953","118,024","217,955","239,097","271,921","140,757","126,411","164,477","97,736","36,393","41.2","1,467,290","1,384,708","367,636","298,606","1,467,290","714,602","752,688","298,606","129,863","168,743","","1,853,973","1,817,814","36,159","1,817,814","1,740,520","57,509","3,094","N","N","N","N","10,838","994","3,335","2,042","635","924","1,400","1,508","701","N","N","N","N","5,152","36,159","12,554","16,092","1,536","598","","1,853,973","1,774,445","73,610","22,063","14,155","2,261","7,250","","1,853,973","22,018","9,413","2,950","536","9,119","1,831,955","1,727,979","56,622","3,057","10,838","701","477","32,281","364","31,917","882,213"
"    Percent","","1,853,973","49.3%","50.7%","5.5%","5.8%","5.9%","6.6%","6.4%","11.8%","12.9%","14.7%","7.6%","6.8%","8.9%","5.3%","2.0%","(X)","79.1%","74.7%","19.8%","16.1%","1,467,290","48.7%","51.3%","298,606","43.5%","56.5%","","1,853,973","98.0%","2.0%","98.0%","93.9%","3.1%","0.2%","N","N","N","N","0.6%","0.1%","0.2%","0.1%","0.0%","0.0%","0.1%","0.1%","0.0%","N","N","N","N","0.3%","2.0%","0.7%","0.9%","0.1%","0.0%","","1,853,973","95.7%","4.0%","1.2%","0.8%","0.1%","0.4%","","1,853,973","1.2%","0.5%","0.2%","0.0%","0.5%","98.8%","93.2%","3.1%","0.2%","0.6%","0.0%","0.0%","1.7%","0.0%","1.7%","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,691,047","2,826,199","2,864,848","355,052","362,759","383,481","402,499","386,961","717,027","724,623","873,392","397,052","308,691","401,693","257,229","120,588","38.5","4,354,839","4,102,066","954,779","779,510","4,354,839","2,141,846","2,212,993","779,510","339,123","440,387","","5,691,047","5,570,242","120,805","5,570,242","4,951,854","350,438","47,703","608","14,579","83","400","129,033","18,222","18,946","8,309","2,438","9,189","3,261","68,668","1,357","661","476","0","220","89,857","120,805","32,503","31,714","19,848","5,956","","5,691,047","5,059,247","399,951","94,801","155,271","4,000","108,648","","5,691,047","336,567","249,474","48,675","3,096","35,322","5,354,480","4,739,488","344,384","44,152","127,634","1,283","3,548","93,991","2,795","91,196","2,625,477"
"    Percent","","5,691,047","49.7%","50.3%","6.2%","6.4%","6.7%","7.1%","6.8%","12.6%","12.7%","15.3%","7.0%","5.4%","7.1%","4.5%","2.1%","(X)","76.5%","72.1%","16.8%","13.7%","4,354,839","49.2%","50.8%","779,510","43.5%","56.5%","","5,691,047","97.9%","2.1%","97.9%","87.0%","6.2%","0.8%","0.0%","0.3%","0.0%","0.0%","2.3%","0.3%","0.3%","0.1%","0.0%","0.2%","0.1%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.6%","2.1%","0.6%","0.6%","0.3%","0.1%","","5,691,047","88.9%","7.0%","1.7%","2.7%","0.1%","1.9%","","5,691,047","5.9%","4.4%","0.9%","0.1%","0.6%","94.1%","83.3%","6.1%","0.8%","2.2%","0.0%","0.1%","1.7%","0.0%","1.6%","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","564,460","287,053","277,407","41,020","38,708","35,838","38,720","39,223","76,868","66,064","84,453","41,929","31,451","40,077","21,040","9,069","36.7","427,742","402,305","88,575","70,186","427,742","217,259","210,483","70,186","32,493","37,693","","564,460","549,342","15,118","549,342","513,623","4,612","14,581","N","N","N","N","3,803","609","359","1,337","557","467","145","329","347","N","N","N","N","12,376","15,118","1,833","8,716","990","153","","564,460","527,926","6,729","23,864","5,164","760","15,279","","564,460","50,693","38,046","407","236","12,004","513,767","484,183","4,512","12,637","3,803","347","190","8,095","529","7,566","262,286"
"    Percent","","564,460","50.9%","49.1%","7.3%","6.9%","6.3%","6.9%","6.9%","13.6%","11.7%","15.0%","7.4%","5.6%","7.1%","3.7%","1.6%","(X)","75.8%","71.3%","15.7%","12.4%","427,742","50.8%","49.2%","70,186","46.3%","53.7%","","564,460","97.3%","2.7%","97.3%","91.0%","0.8%","2.6%","N","N","N","N","0.7%","0.1%","0.1%","0.2%","0.1%","0.1%","0.0%","0.1%","0.1%","N","N","N","N","2.2%","2.7%","0.3%","1.5%","0.2%","0.0%","","564,460","93.5%","1.2%","4.2%","0.9%","0.1%","2.7%","","564,460","9.0%","6.7%","0.1%","0.0%","2.1%","91.0%","85.8%","0.8%","2.2%","0.7%","0.1%","0.0%","1.4%","0.1%","1.3%","(X)"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,722,133","1,785,266","1,936,867","223,247","236,531","268,378","284,254","264,790","482,756","487,539","486,273","219,460","223,184","313,604","170,712","61,405","37.2","2,824,489","2,646,920","676,210","545,721","2,824,489","1,323,258","1,501,231","545,721","237,822","307,899","","3,722,133","3,224,254","497,879","3,224,254","2,523,383","281,915","6,470","N","N","N","N","13,248","N","N","N","N","N","N","N","0","N","N","N","N","399,238","497,879","462,381","1,839","885","1,230","","3,722,133","3,012,841","762,659","17,864","15,598","555","422,436","","3,722,133","3,680,273","11,931","3,560,838","14,708","92,796","41,860","29,028","4,426","113","2,748","0","2,007","3,538","375","3,163","1,637,216"
"    Percent","","3,722,133","48.0%","52.0%","6.0%","6.4%","7.2%","7.6%","7.1%","13.0%","13.1%","13.1%","5.9%","6.0%","8.4%","4.6%","1.6%","(X)","75.9%","71.1%","18.2%","14.7%","2,824,489","46.8%","53.2%","545,721","43.6%","56.4%","","3,722,133","86.6%","13.4%","86.6%","67.8%","7.6%","0.2%","N","N","N","N","0.4%","N","N","N","N","N","N","N","0.0%","N","N","N","N","10.7%","13.4%","12.4%","0.0%","0.0%","0.0%","","3,722,133","80.9%","20.5%","0.5%","0.4%","0.0%","11.3%","","3,722,133","98.9%","0.3%","95.7%","0.4%","2.5%","1.1%","0.8%","0.1%","0.0%","0.1%","0.0%","0.1%","0.1%","0.0%","0.1%","(X)"
