"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","11,613,423","5,683,951","5,929,472","689,288","718,862","753,824","779,720","775,259","1,486,363","1,400,811","1,575,665","836,258","757,819","1,044,297","537,991","257,266","39.3","8,983,615","8,508,254","2,282,829","1,839,554","8,983,615","4,338,198","4,645,417","1,839,554","798,960","1,040,594","","11,613,423","11,304,092","309,331","11,304,092","9,519,055","1,426,291","21,901","4,809","563","439","500","233,468","79,292","61,034","16,018","7,706","15,721","14,540","39,157","4,995","1,020","1,147","313","2,515","98,382","309,331","148,618","51,836","44,984","13,044","","11,613,423","9,801,177","1,613,348","103,129","288,581","10,644","125,291","","11,613,423","411,202","194,995","122,908","8,910","84,389","11,202,221","9,255,663","1,409,506","15,744","231,436","3,920","14,978","270,974","5,233","265,741","5,156,546","","8,765,154","4,228,188","4,536,966"
"    Percent","","11,613,423","48.9%","51.1%","5.9%","6.2%","6.5%","6.7%","6.7%","12.8%","12.1%","13.6%","7.2%","6.5%","9.0%","4.6%","2.2%","(X)","77.4%","73.3%","19.7%","15.8%","8,983,615","48.3%","51.7%","1,839,554","43.4%","56.6%","","11,613,423","97.3%","2.7%","97.3%","82.0%","12.3%","0.2%","0.0%","0.0%","0.0%","0.0%","2.0%","0.7%","0.5%","0.1%","0.1%","0.1%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.8%","2.7%","1.3%","0.4%","0.4%","0.1%","","11,613,423","84.4%","13.9%","0.9%","2.5%","0.1%","1.1%","","11,613,423","3.5%","1.7%","1.1%","0.1%","0.7%","96.5%","79.7%","12.1%","0.1%","2.0%","0.0%","0.1%","2.3%","0.0%","2.3%","(X)","","8,765,154","48.2%","51.8%"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,911,338","1,939,555","1,971,783","262,951","271,828","268,107","269,997","280,592","535,955","479,383","481,745","252,792","231,957","334,259","175,271","66,501","36.3","2,950,241","2,780,659","709,434","576,031","2,950,241","1,445,485","1,504,756","576,031","255,984","320,047","","3,911,338","3,601,635","309,703","3,601,635","2,838,386","286,314","286,598","115,223","246","1,359","891","78,528","11,680","11,553","6,860","1,883","5,084","21,276","20,192","3,541","623","485","554","1,879","108,268","309,703","40,331","199,949","14,589","18,574","","3,911,338","3,120,035","359,551","521,993","102,422","7,518","126,530","","3,911,338","396,464","326,479","12,871","3,358","53,756","3,514,874","2,597,511","280,826","273,042","77,928","3,285","5,125","277,157","2,498","274,659","1,711,515","","2,807,548","1,366,949","1,440,599"
"    Percent","","3,911,338","49.6%","50.4%","6.7%","6.9%","6.9%","6.9%","7.2%","13.7%","12.3%","12.3%","6.5%","5.9%","8.5%","4.5%","1.7%","(X)","75.4%","71.1%","18.1%","14.7%","2,950,241","49.0%","51.0%","576,031","44.4%","55.6%","","3,911,338","92.1%","7.9%","92.1%","72.6%","7.3%","7.3%","2.9%","0.0%","0.0%","0.0%","2.0%","0.3%","0.3%","0.2%","0.0%","0.1%","0.5%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","2.8%","7.9%","1.0%","5.1%","0.4%","0.5%","","3,911,338","79.8%","9.2%","13.3%","2.6%","0.2%","3.2%","","3,911,338","10.1%","8.3%","0.3%","0.1%","1.4%","89.9%","66.4%","7.2%","7.0%","2.0%","0.1%","0.1%","7.1%","0.1%","7.0%","(X)","","2,807,548","48.7%","51.3%"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,028,977","1,992,162","2,036,815","229,139","244,650","238,199","247,829","264,699","553,310","527,375","517,829","264,966","281,203","396,146","182,433","81,199","39.1","3,167,825","3,018,118","825,741","659,778","3,167,825","1,552,453","1,615,372","659,778","301,459","358,319","","4,028,977","3,846,152","182,825","3,846,152","3,433,909","76,980","50,126","4,219","2,052","330","2,526","164,291","23,594","39,947","16,101","13,335","17,244","27,894","26,176","14,239","3,935","1,662","1,053","7,589","106,607","182,825","23,467","68,881","48,547","1,702","","4,028,977","3,606,157","109,403","129,579","227,243","29,529","124,070","","4,028,977","511,898","419,208","12,734","8,582","71,374","3,517,079","3,082,611","73,428","37,993","162,545","13,359","3,090","144,053","2,567","141,486","1,718,509","","2,956,232","1,444,620","1,511,612"
"    Percent","","4,028,977","49.4%","50.6%","5.7%","6.1%","5.9%","6.2%","6.6%","13.7%","13.1%","12.9%","6.6%","7.0%","9.8%","4.5%","2.0%","(X)","78.6%","74.9%","20.5%","16.4%","3,167,825","49.0%","51.0%","659,778","45.7%","54.3%","","4,028,977","95.5%","4.5%","95.5%","85.2%","1.9%","1.2%","0.1%","0.1%","0.0%","0.1%","4.1%","0.6%","1.0%","0.4%","0.3%","0.4%","0.7%","0.6%","0.4%","0.1%","0.0%","0.0%","0.2%","2.6%","4.5%","0.6%","1.7%","1.2%","0.0%","","4,028,977","89.5%","2.7%","3.2%","5.6%","0.7%","3.1%","","4,028,977","12.7%","10.4%","0.3%","0.2%","1.8%","87.3%","76.5%","1.8%","0.9%","4.0%","0.3%","0.1%","3.6%","0.1%","3.5%","(X)","","2,956,232","48.9%","51.1%"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,802,503","6,262,246","6,540,257","714,892","750,131","747,764","843,862","850,127","1,648,641","1,501,855","1,774,180","945,070","844,788","1,199,864","656,960","324,369","40.7","10,110,483","9,565,469","2,661,051","2,181,193","10,110,483","4,883,973","5,226,510","2,181,193","942,140","1,239,053","","12,802,503","12,493,132","309,371","12,493,132","10,386,678","1,408,512","25,085","2,528","372","268","712","420,116","131,075","111,541","25,701","7,298","38,359","42,317","63,825","4,253","2,078","272","485","1,418","248,488","309,371","136,758","35,783","45,086","13,175","","12,802,503","10,654,845","1,595,789","95,602","486,424","14,744","293,119","","12,802,503","870,209","142,531","447,132","17,091","263,455","11,932,294","9,890,644","1,349,101","12,314","416,992","2,403","21,208","239,632","9,900","229,732","5,603,051","","9,752,322","4,705,173","5,047,149"
"    Percent","","12,802,503","48.9%","51.1%","5.6%","5.9%","5.8%","6.6%","6.6%","12.9%","11.7%","13.9%","7.4%","6.6%","9.4%","5.1%","2.5%","(X)","79.0%","74.7%","20.8%","17.0%","10,110,483","48.3%","51.7%","2,181,193","43.2%","56.8%","","12,802,503","97.6%","2.4%","97.6%","81.1%","11.0%","0.2%","0.0%","0.0%","0.0%","0.0%","3.3%","1.0%","0.9%","0.2%","0.1%","0.3%","0.3%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.9%","2.4%","1.1%","0.3%","0.4%","0.1%","","12,802,503","83.2%","12.5%","0.7%","3.8%","0.1%","2.3%","","12,802,503","6.8%","1.1%","3.5%","0.1%","2.1%","93.2%","77.3%","10.5%","0.1%","3.3%","0.0%","0.2%","1.9%","0.1%","1.8%","(X)","","9,752,322","48.2%","51.8%"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,056,298","511,773","544,525","54,393","61,176","58,058","73,650","78,938","143,020","123,682","148,812","79,258","64,779","94,652","48,236","27,644","39.7","844,423","790,906","206,618","170,532","844,423","403,404","441,019","170,532","72,890","97,642","","1,056,298","1,019,920","36,378","1,019,920","848,845","65,504","4,563","N","N","N","N","35,540","7,507","11,215","2,492","903","1,116","1,761","10,546","211","N","N","N","N","65,257","36,378","11,186","5,059","6,430","3,291","","1,056,298","877,004","84,577","14,361","44,327","1,407","73,373","","1,056,298","152,085","8,612","39,534","1,191","102,748","904,213","775,163","57,364","3,342","35,120","211","6,679","26,334","2,790","23,544","462,555","","784,997","370,447","414,550"
"    Percent","","1,056,298","48.4%","51.6%","5.1%","5.8%","5.5%","7.0%","7.5%","13.5%","11.7%","14.1%","7.5%","6.1%","9.0%","4.6%","2.6%","(X)","79.9%","74.9%","19.6%","16.1%","844,423","47.8%","52.2%","170,532","42.7%","57.3%","","1,056,298","96.6%","3.4%","96.6%","80.4%","6.2%","0.4%","N","N","N","N","3.4%","0.7%","1.1%","0.2%","0.1%","0.1%","0.2%","1.0%","0.0%","N","N","N","N","6.2%","3.4%","1.1%","0.5%","0.6%","0.3%","","1,056,298","83.0%","8.0%","1.4%","4.2%","0.1%","6.9%","","1,056,298","14.4%","0.8%","3.7%","0.1%","9.7%","85.6%","73.4%","5.4%","0.3%","3.3%","0.0%","0.6%","2.5%","0.3%","2.2%","(X)","","784,997","47.2%","52.8%"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,896,146","2,385,096","2,511,050","287,488","310,877","302,956","329,653","345,340","631,579","600,449","651,938","330,652","311,260","490,838","218,046","85,070","39.0","3,806,838","3,595,570","977,137","793,954","3,806,838","1,824,107","1,982,731","793,954","352,949","441,005","","4,896,146","4,792,460","103,686","4,792,460","3,292,094","1,344,114","13,761","1,913","267","0","208","70,342","14,634","15,502","11,529","1,405","3,384","8,948","14,940","3,361","318","713","752","1,578","68,788","103,686","44,256","19,843","13,420","5,603","","4,896,146","3,380,616","1,403,525","43,112","90,165","6,031","81,605","","4,896,146","262,555","140,867","42,161","8,535","70,992","4,633,591","3,119,807","1,331,987","12,190","70,215","3,109","6,193","90,090","1,928","88,162","2,210,150","","3,677,799","1,753,978","1,923,821"
"    Percent","","4,896,146","48.7%","51.3%","5.9%","6.3%","6.2%","6.7%","7.1%","12.9%","12.3%","13.3%","6.8%","6.4%","10.0%","4.5%","1.7%","(X)","77.8%","73.4%","20.0%","16.2%","3,806,838","47.9%","52.1%","793,954","44.5%","55.5%","","4,896,146","97.9%","2.1%","97.9%","67.2%","27.5%","0.3%","0.0%","0.0%","0.0%","0.0%","1.4%","0.3%","0.3%","0.2%","0.0%","0.1%","0.2%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","1.4%","2.1%","0.9%","0.4%","0.3%","0.1%","","4,896,146","69.0%","28.7%","0.9%","1.8%","0.1%","1.7%","","4,896,146","5.4%","2.9%","0.9%","0.2%","1.4%","94.6%","63.7%","27.2%","0.2%","1.4%","0.1%","0.1%","1.8%","0.0%","1.8%","(X)","","3,677,799","47.7%","52.3%"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","858,469","431,540","426,929","59,597","60,136","55,902","60,121","59,605","111,923","98,348","104,609","60,180","53,535","72,702","40,855","20,956","36.9","648,789","609,247","165,506","134,513","648,789","323,230","325,559","134,513","61,290","73,223","","858,469","833,072","25,397","833,072","725,937","13,172","71,102","425","598","301","59,856","11,911","612","1,800","1,821","556","1,876","696","4,550","737","N","N","N","N","10,213","25,397","4,086","13,466","2,959","1,157","","858,469","748,750","18,979","87,202","16,371","2,138","11,546","","858,469","30,079","20,608","2,390","308","6,773","828,390","710,681","12,807","68,201","11,901","712","1,723","22,365","96","22,269","380,307","","634,140","315,177","318,963"
"    Percent","","858,469","50.3%","49.7%","6.9%","7.0%","6.5%","7.0%","6.9%","13.0%","11.5%","12.2%","7.0%","6.2%","8.5%","4.8%","2.4%","(X)","75.6%","71.0%","19.3%","15.7%","648,789","49.8%","50.2%","134,513","45.6%","54.4%","","858,469","97.0%","3.0%","97.0%","84.6%","1.5%","8.3%","0.0%","0.1%","0.0%","7.0%","1.4%","0.1%","0.2%","0.2%","0.1%","0.2%","0.1%","0.5%","0.1%","N","N","N","N","1.2%","3.0%","0.5%","1.6%","0.3%","0.1%","","858,469","87.2%","2.2%","10.2%","1.9%","0.2%","1.3%","","858,469","3.5%","2.4%","0.3%","0.0%","0.8%","96.5%","82.8%","1.5%","7.9%","1.4%","0.1%","0.2%","2.6%","0.0%","2.6%","(X)","","634,140","49.7%","50.3%"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,600,299","3,214,689","3,385,610","399,237","414,645","423,160","432,276","457,494","865,801","841,160","893,939","459,186","397,621","607,647","293,726","114,407","38.7","5,106,499","4,837,139","1,245,692","1,015,780","5,106,499","2,454,974","2,651,525","1,015,780","448,323","567,457","","6,600,299","6,459,319","140,980","6,459,319","5,129,336","1,110,412","19,294","8,207","269","272","473","107,075","24,869","17,844","12,004","5,290","12,094","11,168","23,806","2,909","1,199","372","733","605","90,293","140,980","58,546","31,898","20,542","2,985","","6,600,299","5,259,536","1,180,952","62,284","135,321","9,273","104,806","","6,600,299","333,460","204,982","28,374","12,397","87,707","6,266,839","4,899,807","1,100,868","17,603","106,375","2,735","11,869","127,582","4,187","123,395","2,892,407","","4,919,574","2,353,255","2,566,319"
"    Percent","","6,600,299","48.7%","51.3%","6.0%","6.3%","6.4%","6.5%","6.9%","13.1%","12.7%","13.5%","7.0%","6.0%","9.2%","4.5%","1.7%","(X)","77.4%","73.3%","18.9%","15.4%","5,106,499","48.1%","51.9%","1,015,780","44.1%","55.9%","","6,600,299","97.9%","2.1%","97.9%","77.7%","16.8%","0.3%","0.1%","0.0%","0.0%","0.0%","1.6%","0.4%","0.3%","0.2%","0.1%","0.2%","0.2%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","2.1%","0.9%","0.5%","0.3%","0.0%","","6,600,299","79.7%","17.9%","0.9%","2.1%","0.1%","1.6%","","6,600,299","5.1%","3.1%","0.4%","0.2%","1.3%","94.9%","74.2%","16.7%","0.3%","1.6%","0.0%","0.2%","1.9%","0.1%","1.9%","(X)","","4,919,574","47.8%","52.2%"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","27,469,114","13,625,413","13,843,701","1,966,708","2,052,116","2,003,725","1,968,657","2,005,047","3,977,864","3,725,435","3,496,526","1,631,946","1,419,583","1,928,709","935,127","357,671","34.4","20,260,330","19,062,391","4,031,283","3,221,507","20,260,330","9,950,860","10,309,470","3,221,507","1,428,111","1,793,396","","27,469,114","26,777,787","691,327","26,777,787","20,587,917","3,298,173","132,948","16,668","713","4,040","2,484","1,248,823","359,426","209,129","126,264","24,795","66,136","247,843","215,230","20,071","4,272","5,255","4,365","6,179","1,489,855","691,327","173,328","149,560","121,767","19,276","","27,469,114","21,186,278","3,555,353","334,261","1,430,104","48,238","1,654,676","","27,469,114","10,672,216","9,260,975","183,658","64,845","1,162,738","16,796,898","11,795,062","3,209,454","66,303","1,236,884","18,211","36,412","434,572","20,488","414,084","10,588,236","","17,523,904","8,536,443","8,987,461"
"    Percent","","27,469,114","49.6%","50.4%","7.2%","7.5%","7.3%","7.2%","7.3%","14.5%","13.6%","12.7%","5.9%","5.2%","7.0%","3.4%","1.3%","(X)","73.8%","69.4%","14.7%","11.7%","20,260,330","49.1%","50.9%","3,221,507","44.3%","55.7%","","27,469,114","97.5%","2.5%","97.5%","74.9%","12.0%","0.5%","0.1%","0.0%","0.0%","0.0%","4.5%","1.3%","0.8%","0.5%","0.1%","0.2%","0.9%","0.8%","0.1%","0.0%","0.0%","0.0%","0.0%","5.4%","2.5%","0.6%","0.5%","0.4%","0.1%","","27,469,114","77.1%","12.9%","1.2%","5.2%","0.2%","6.0%","","27,469,114","38.9%","33.7%","0.7%","0.2%","4.2%","61.1%","42.9%","11.7%","0.2%","4.5%","0.1%","0.1%","1.6%","0.1%","1.5%","(X)","","17,523,904","48.7%","51.3%"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,995,919","1,506,383","1,489,536","249,969","261,342","256,235","235,202","251,222","440,506","402,256","307,739","144,544","139,062","180,733","92,672","34,437","30.6","2,083,586","1,949,364","386,775","307,842","2,083,586","1,037,467","1,046,119","307,842","142,599","165,243","","2,995,919","2,909,682","86,237","2,909,682","2,611,340","34,524","35,407","532","217","17,544","1,082","68,945","8,725","11,895","10,017","7,412","5,224","8,228","17,444","23,886","959","171","7,424","15,332","135,580","86,237","10,663","16,354","23,765","824","","2,995,919","2,689,717","50,884","59,538","100,135","41,645","149,159","","2,995,919","409,310","298,130","9,857","2,300","99,023","2,586,609","2,364,160","32,498","29,584","68,148","23,628","2,781","65,810","2,059","63,751","1,038,065","","1,945,001","969,858","975,143"
"    Percent","","2,995,919","50.3%","49.7%","8.3%","8.7%","8.6%","7.9%","8.4%","14.7%","13.4%","10.3%","4.8%","4.6%","6.0%","3.1%","1.1%","(X)","69.5%","65.1%","12.9%","10.3%","2,083,586","49.8%","50.2%","307,842","46.3%","53.7%","","2,995,919","97.1%","2.9%","97.1%","87.2%","1.2%","1.2%","0.0%","0.0%","0.6%","0.0%","2.3%","0.3%","0.4%","0.3%","0.2%","0.2%","0.3%","0.6%","0.8%","0.0%","0.0%","0.2%","0.5%","4.5%","2.9%","0.4%","0.5%","0.8%","0.0%","","2,995,919","89.8%","1.7%","2.0%","3.3%","1.4%","5.0%","","2,995,919","13.7%","10.0%","0.3%","0.1%","3.3%","86.3%","78.9%","1.1%","1.0%","2.3%","0.8%","0.1%","2.2%","0.1%","2.1%","(X)","","1,945,001","49.9%","50.1%"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","626,042","308,552","317,490","30,172","32,235","34,511","44,439","46,031","70,733","69,851","90,388","49,471","48,127","64,715","30,750","14,619","43.1","505,882","473,343","137,076","110,084","505,882","246,808","259,074","110,084","50,292","59,792","","626,042","614,893","11,149","614,893","593,056","7,996","2,698","N","N","N","N","8,627","850","1,743","152","246","1,616","795","3,225","387","N","N","N","N","2,129","11,149","2,004","5,696","2,224","22","","626,042","603,996","10,699","9,109","11,334","511","2,368","","626,042","10,422","2,783","1,956","738","4,945","615,620","584,851","7,694","2,277","8,627","282","950","10,939","121","10,818","326,874","","494,717","241,247","253,470"
"    Percent","","626,042","49.3%","50.7%","4.8%","5.1%","5.5%","7.1%","7.4%","11.3%","11.2%","14.4%","7.9%","7.7%","10.3%","4.9%","2.3%","(X)","80.8%","75.6%","21.9%","17.6%","505,882","48.8%","51.2%","110,084","45.7%","54.3%","","626,042","98.2%","1.8%","98.2%","94.7%","1.3%","0.4%","N","N","N","N","1.4%","0.1%","0.3%","0.0%","0.0%","0.3%","0.1%","0.5%","0.1%","N","N","N","N","0.3%","1.8%","0.3%","0.9%","0.4%","0.0%","","626,042","96.5%","1.7%","1.5%","1.8%","0.1%","0.4%","","626,042","1.7%","0.4%","0.3%","0.1%","0.8%","98.3%","93.4%","1.2%","0.4%","1.4%","0.0%","0.2%","1.7%","0.0%","1.7%","(X)","","494,717","48.8%","51.2%"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,382,993","4,126,326","4,256,667","510,917","527,609","517,609","549,494","592,046","1,172,805","1,095,902","1,169,438","565,149","494,580","708,163","337,578","141,703","37.8","6,513,179","6,153,751","1,468,115","1,187,444","6,513,179","3,169,806","3,343,373","1,187,444","524,430","663,014","","8,382,993","8,086,830","296,163","8,086,830","5,718,051","1,612,831","22,773","3,642","341","905","115","524,476","127,432","76,925","70,796","11,047","72,463","65,460","100,353","5,506","1,854","1,547","1,039","1,066","203,193","296,163","95,756","32,830","84,100","11,012","","8,382,993","5,975,102","1,753,037","81,379","637,103","17,921","239,060","","8,382,993","753,353","174,224","95,177","19,084","464,868","7,629,640","5,239,479","1,583,049","16,415","519,910","5,057","23,466","242,264","6,557","235,707","3,468,952","","6,062,304","2,946,126","3,116,178"
"    Percent","","8,382,993","49.2%","50.8%","6.1%","6.3%","6.2%","6.6%","7.1%","14.0%","13.1%","14.0%","6.7%","5.9%","8.4%","4.0%","1.7%","(X)","77.7%","73.4%","17.5%","14.2%","6,513,179","48.7%","51.3%","1,187,444","44.2%","55.8%","","8,382,993","96.5%","3.5%","96.5%","68.2%","19.2%","0.3%","0.0%","0.0%","0.0%","0.0%","6.3%","1.5%","0.9%","0.8%","0.1%","0.9%","0.8%","1.2%","0.1%","0.0%","0.0%","0.0%","0.0%","2.4%","3.5%","1.1%","0.4%","1.0%","0.1%","","8,382,993","71.3%","20.9%","1.0%","7.6%","0.2%","2.9%","","8,382,993","9.0%","2.1%","1.1%","0.2%","5.5%","91.0%","62.5%","18.9%","0.2%","6.2%","0.1%","0.3%","2.9%","0.1%","2.8%","(X)","","6,062,304","48.6%","51.4%"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,170,351","3,585,221","3,585,130","444,671","462,010","434,856","450,710","488,790","1,050,364","926,769","948,243","487,492","439,820","624,151","285,286","127,189","37.5","5,558,381","5,280,500","1,290,212","1,036,626","5,558,381","2,761,352","2,797,029","1,036,626","473,605","563,021","","7,170,351","6,773,113","397,238","6,773,113","5,513,655","262,552","92,403","3,385","1,703","1,973","1,782","568,108","87,041","126,495","101,560","37,325","63,415","70,434","81,838","46,453","7,482","9,098","14,825","15,048","289,942","397,238","74,797","83,290","115,476","9,365","","7,170,351","5,860,029","383,372","210,033","733,099","88,202","335,773","","7,170,351","886,419","706,040","31,728","8,837","139,814","6,283,932","4,996,873","253,220","82,481","563,704","45,576","9,933","332,145","5,281","326,864","2,991,584","","5,081,800","2,517,665","2,564,135"
